,STATION,AM_ENTERS,AM_EXITS,AM_AVG_ENTER,AM_AVG_EXIT
0,INWOOD-207 ST,11800,1149,2360.0,229.8
1,DYCKMAN ST,8185,96,1637.0,19.2
2,190 ST,1988,212,397.6,42.4
3,181 ST,12955,1696,2591.0,339.2
4,175 ST,6414,792,1282.8,158.4
5,168 ST,7006,4972,1401.2,994.4
6,145 ST,13017,5495,2603.4,1099.0
7,125 ST,8707,6616,1741.4,1323.2
8,59 ST COLUMBUS,4615,17394,923.0,3478.8
9,8 AV,4572,6636,914.4,1327.2
10,42 ST-PORT AUTH,89292,59136,17858.4,11827.2
11,34 ST-PENN STA,104956,48578,20991.2,9715.6
12,14 ST,3919,11802,783.8,2360.4
13,W 4 ST-WASH SQ,12034,21305,2406.8,4261.0
14,CANAL ST,1276,5619,255.2,1123.8
15,CHAMBERS ST,5779,13384,1155.8,2676.8
16,FULTON ST,21552,34497,4310.4,6899.4
17,HIGH ST,892,2247,178.4,449.4
18,JAY ST-METROTEC,6390,7048,1278.0,1409.6
19,HOYT-SCHER,1254,2107,250.8,421.4
20,FRANKLIN AV,4470,2992,894.0,598.4
21,NOSTRAND AV,5011,2436,1002.2,487.2
22,UTICA AV,16992,4222,3398.4,844.4
23,BROADWAY JCT,5493,2685,1098.6,537.0
24,EUCLID AV,7664,931,1532.8,186.2
25,GRANT AV,4793,628,958.6,125.6
26,80 ST,8396,336,1679.2,67.2
27,88 ST,6117,135,1223.4,27.0
28,ROCKAWAY BLVD,12901,1655,2580.2,331.0
29,104 ST,2441,74,488.2,14.8
30,111 ST,6459,146,1291.8,29.2
31,OZONE PK LEFFRT,10129,1136,2025.8,227.2
32,AQUEDUCT RACETR,589,27,117.8,5.4
33,AQUEDUCT N.COND,2137,308,427.4,61.6
34,HOWARD BCH JFK,2545,2294,509.0,458.8
35,BROAD CHANNEL,832,52,166.4,10.4
36,BEACH 67 ST,2438,384,487.6,76.8
37,BEACH 60 ST,2526,303,505.2,60.6
38,BEACH 44 ST,783,366,156.6,73.2
39,BEACH 36 ST,1124,135,224.8,27.0
40,BEACH 25 ST,2224,375,444.8,75.0
41,FAR ROCKAWAY,4504,1453,900.8,290.6
42,BEACH 90 ST,1930,184,386.0,36.8
43,BEACH 98 ST,934,302,186.8,60.4
44,BEACH 105 ST,515,152,103.0,30.4
45,ROCKAWAY PARK B,1142,476,228.4,95.2
