STATION,AM_ENTERS,AM_EXITS
INWOOD-207 ST,11800,1149
DYCKMAN ST,8185,96
190 ST,1988,212
181 ST,12955,1696
175 ST,6414,792
168 ST,7006,4972
145 ST,13017,5495
125 ST,8707,6616
59 ST COLUMBUS,4615,17394
8 AV,4572,6636
42 ST-PORT AUTH,89292,59136
34 ST-PENN STA,104956,48578
14 ST,3919,11802
W 4 ST-WASH SQ,12034,21305
CANAL ST,1276,5619
CHAMBERS ST,5779,13384
FULTON ST,21552,34497
HIGH ST,892,2247
JAY ST-METROTEC,6390,7048
HOYT-SCHER,1254,2107
FRANKLIN AV,4470,2992
NOSTRAND AV,5011,2436
UTICA AV,16992,4222
BROADWAY JCT,5493,2685
EUCLID AV,7664,931
GRANT AV,4793,628
80 ST,8396,336
88 ST,6117,135
ROCKAWAY BLVD,12901,1655
104 ST,2441,74
111 ST,6459,146
OZONE PK LEFFRT,10129,1136
AQUEDUCT RACETR,589,27
AQUEDUCT N.COND,2137,308
HOWARD BCH JFK,2545,2294
BROAD CHANNEL,832,52
BEACH 67 ST,2438,384
BEACH 60 ST,2526,303
BEACH 44 ST,783,366
BEACH 36 ST,1124,135
BEACH 25 ST,2224,375
FAR ROCKAWAY,4504,1453
BEACH 90 ST,1930,184
BEACH 98 ST,934,302
BEACH 105 ST,515,152
ROCKAWAY PARK B,1142,476
