STATION,AM_ENTERS,AM_EXITS
103 ST,4581.0,1183.0
116 ST,5165.0,2321.0
125 ST,8707.0,6616.0
135 ST,3747.0,3475.0
145 ST,13017.0,5495.0
155 ST,4413.0,872.0
161/YANKEE STAD,17163.0,3074.0
170 ST,14841.0,1884.0
182-183 STS,4110.0,263.0
34 ST-HERALD SQ,14027.0,21487.0
42 ST-BRYANT PK,2663.0,21098.0
47-50 STS ROCK,1975.0,22510.0
59 ST COLUMBUS,4615.0,17394.0
7 AV,6456.0,2682.0
7 AV 53 ST,2311.0,16390.0
72 ST,417.0,792.0
81 ST-MUSEUM,2865.0,5468.0
86 ST,840.0,970.0
96 ST,1066.0,1217.0
ATL AV-BARCLAY,9061.0,5236.0
AVENUE H,1368.0,258.0
AVENUE J,4610.0,1118.0
AVENUE M,4135.0,1302.0
AVENUE U,10145.0,735.0
B'WAY-LAFAYETTE,2224.0,12377.0
BEDFORD PK BLVD,10584.0,1327.0
BEVERLEY ROAD,1836.0,248.0
BRIGHTON BEACH,6065.0,689.0
CATHEDRAL PKWY,4714.0,1699.0
CHURCH AV,9285.0,1593.0
CORTELYOU RD,3499.0,218.0
DEKALB AV,3548.0,1915.0
FORDHAM RD,8185.0,915.0
GRAND ST,1864.0,3031.0
KINGS HWY,9735.0,1580.0
KINGSBRIDGE RD,13118.0,1982.0
NECK RD,2894.0,84.0
NEWKIRK PLAZA,15685.0,2701.0
PARKSIDE AV,6968.0,1031.0
PROSPECT PARK,3736.0,1202.0
SHEEPSHEAD BAY,21155.0,3562.0
TREMONT AV,18427.0,3098.0
W 4 ST-WASH SQ,12034.0,21305.0
