,STATION,AM_ENTERS,AM_EXITS,AM_AVG_ENTER,AM_AVG_EXIT
0,BEDFORD PK BLVD,10584,1327,2116.8,265.4
1,KINGSBRIDGE RD,13118,1982,2623.6,396.4
2,FORDHAM RD,8185,915,1637.0,183.0
3,182-183 STS,4110,263,822.0,52.6
4,TREMONT AV,18427,3098,3685.4,619.6
5,170 ST,14841,1884,2968.2,376.8
6,161/YANKEE STAD,17163,3074,3432.6,614.8
7,155 ST,4413,872,882.6,174.4
8,145 ST,13017,5495,2603.4,1099.0
9,135 ST,3747,3475,749.4,695.0
10,125 ST,8707,6616,1741.4,1323.2
11,116 ST,5165,2321,1033.0,464.2
12,CATHEDRAL PKWY,4714,1699,942.8,339.8
13,103 ST,4581,1183,916.2,236.6
14,96 ST,1066,1217,213.2,243.4
15,86 ST,840,970,168.0,194.0
16,81 ST-MUSEUM,2865,5468,573.0,1093.6
17,72 ST,417,792,83.4,158.4
18,59 ST COLUMBUS,4615,17394,923.0,3478.8
19,7 AV 53 ST,2311,16390,462.2,3278.0
20,47-50 STS ROCK,1975,22510,395.0,4502.0
21,42 ST-BRYANT PK,2663,21098,532.6,4219.6
22,34 ST-HERALD SQ,14027,21487,2805.4,4297.4
23,W 4 ST-WASH SQ,12034,21305,2406.8,4261.0
24,B'WAY-LAFAYETTE,2224,12377,444.8,2475.4
25,GRAND ST,1864,3031,372.8,606.2
26,DEKALB AV,3548,1915,709.6,383.0
27,ATL AV-BARCLAY,9061,5236,1812.2,1047.2
28,7 AV,6456,2682,1291.2,536.4
29,PROSPECT PARK,3736,1202,747.2,240.4
30,PARKSIDE AV,6968,1031,1393.6,206.2
31,CHURCH AV,9285,1593,1857.0,318.6
32,BEVERLEY ROAD,1836,248,367.2,49.6
33,CORTELYOU RD,3499,218,699.8,43.6
34,NEWKIRK PLAZA,15685,2701,3137.0,540.2
35,AVENUE H,1368,258,273.6,51.6
36,AVENUE J,4610,1118,922.0,223.6
37,AVENUE M,4135,1302,827.0,260.4
38,KINGS HWY,9735,1580,1947.0,316.0
39,AVENUE U,10145,735,2029.0,147.0
40,NECK RD,2894,84,578.8,16.8
41,SHEEPSHEAD BAY,21155,3562,4231.0,712.4
42,BRIGHTON BEACH,6065,689,1213.0,137.8
