STATION,AM_ENTERS,AM_EXITS
BEDFORD PK BLVD,10584,1327
KINGSBRIDGE RD,13118,1982
FORDHAM RD,8185,915
182-183 STS,4110,263
TREMONT AV,18427,3098
170 ST,14841,1884
161/YANKEE STAD,17163,3074
155 ST,4413,872
145 ST,13017,5495
135 ST,3747,3475
125 ST,8707,6616
116 ST,5165,2321
CATHEDRAL PKWY,4714,1699
103 ST,4581,1183
96 ST,1066,1217
86 ST,840,970
81 ST-MUSEUM,2865,5468
72 ST,417,792
59 ST COLUMBUS,4615,17394
7 AV 53 ST,2311,16390
47-50 STS ROCK,1975,22510
42 ST-BRYANT PK,2663,21098
34 ST-HERALD SQ,14027,21487
W 4 ST-WASH SQ,12034,21305
B'WAY-LAFAYETTE,2224,12377
GRAND ST,1864,3031
DEKALB AV,3548,1915
ATL AV-BARCLAY,9061,5236
7 AV,6456,2682
PROSPECT PARK,3736,1202
PARKSIDE AV,6968,1031
CHURCH AV,9285,1593
BEVERLEY ROAD,1836,248
CORTELYOU RD,3499,218
NEWKIRK PLAZA,15685,2701
AVENUE H,1368,258
AVENUE J,4610,1118
AVENUE M,4135,1302
KINGS HWY,9735,1580
AVENUE U,10145,735
NECK RD,2894,84
SHEEPSHEAD BAY,21155,3562
BRIGHTON BEACH,6065,689
