STATION,AM_ENTERS,AM_EXITS
103 ST,4581.0,1183.0
116 ST,5165.0,2321.0
125 ST,8707.0,6616.0
135 ST,3747.0,3475.0
14 ST,3919.0,11802.0
145 ST,13017.0,5495.0
155 ST,3019.0,730.0
163 ST-AMSTERDM,5308.0,995.0
168 ST,7006.0,4972.0
23 ST,5125.0,5958.0
34 ST-PENN STA,104956.0,48578.0
42 ST-PORT AUTH,89292.0,59136.0
50 ST,7973.0,13103.0
59 ST COLUMBUS,4615.0,17394.0
72 ST,417.0,792.0
81 ST-MUSEUM,2865.0,5468.0
86 ST,840.0,970.0
96 ST,1066.0,1217.0
BROADWAY JCT,5493.0,2685.0
CANAL ST,1276.0,5619.0
CATHEDRAL PKWY,4714.0,1699.0
CHAMBERS ST,5779.0,13384.0
CLINTON-WASH AV,1317.0,886.0
EUCLID AV,7664.0,931.0
FRANKLIN AV,4470.0,2992.0
FULTON ST,21552.0,34497.0
HIGH ST,892.0,2247.0
HOYT-SCHER,1254.0,2107.0
JAY ST-METROTEC,6390.0,7048.0
KINGSTON-THROOP,2461.0,818.0
LAFAYETTE AV,2032.0,718.0
LIBERTY AV,3425.0,839.0
NOSTRAND AV,5011.0,2436.0
RALPH AV,7276.0,1097.0
ROCKAWAY AV,7694.0,1331.0
SHEPHERD AV,5790.0,555.0
SPRING ST,577.0,482.0
UTICA AV,16992.0,4222.0
VAN SICLEN AVE,5159.0,894.0
W 4 ST-WASH SQ,12034.0,21305.0
