,STATION,AM_ENTERS,AM_EXITS,AM_AVG_ENTER,AM_AVG_EXIT
0,168 ST,7006,4972,1401.2,994.4
1,163 ST-AMSTERDM,5308,995,1061.6,199.0
2,155 ST,3019,730,603.8,146.0
3,145 ST,13017,5495,2603.4,1099.0
4,135 ST,3747,3475,749.4,695.0
5,125 ST,8707,6616,1741.4,1323.2
6,116 ST,5165,2321,1033.0,464.2
7,CATHEDRAL PKWY,4714,1699,942.8,339.8
8,103 ST,4581,1183,916.2,236.6
9,96 ST,1066,1217,213.2,243.4
10,86 ST,840,970,168.0,194.0
11,81 ST-MUSEUM,2865,5468,573.0,1093.6
12,72 ST,417,792,83.4,158.4
13,59 ST COLUMBUS,4615,17394,923.0,3478.8
14,50 ST,7973,13103,1594.6,2620.6
15,42 ST-PORT AUTH,89292,59136,17858.4,11827.2
16,34 ST-PENN STA,104956,48578,20991.2,9715.6
17,23 ST,5125,5958,1025.0,1191.6
18,14 ST,3919,11802,783.8,2360.4
19,W 4 ST-WASH SQ,12034,21305,2406.8,4261.0
20,SPRING ST,577,482,115.4,96.4
21,CANAL ST,1276,5619,255.2,1123.8
22,CHAMBERS ST,5779,13384,1155.8,2676.8
23,FULTON ST,21552,34497,4310.4,6899.4
24,HIGH ST,892,2247,178.4,449.4
25,JAY ST-METROTEC,6390,7048,1278.0,1409.6
26,HOYT-SCHER,1254,2107,250.8,421.4
27,LAFAYETTE AV,2032,718,406.4,143.6
28,CLINTON-WASH AV,1317,886,263.4,177.2
29,FRANKLIN AV,4470,2992,894.0,598.4
30,NOSTRAND AV,5011,2436,1002.2,487.2
31,KINGSTON-THROOP,2461,818,492.2,163.6
32,UTICA AV,16992,4222,3398.4,844.4
33,RALPH AV,7276,1097,1455.2,219.4
34,ROCKAWAY AV,7694,1331,1538.8,266.2
35,BROADWAY JCT,5493,2685,1098.6,537.0
36,LIBERTY AV,3425,839,685.0,167.8
37,VAN SICLEN AVE,5159,894,1031.8,178.8
38,SHEPHERD AV,5790,555,1158.0,111.0
39,EUCLID AV,7664,931,1532.8,186.2
