STATION,AM_ENTERS,AM_EXITS
168 ST,7006,4972
163 ST-AMSTERDM,5308,995
155 ST,3019,730
145 ST,13017,5495
135 ST,3747,3475
125 ST,8707,6616
116 ST,5165,2321
CATHEDRAL PKWY,4714,1699
103 ST,4581,1183
96 ST,1066,1217
86 ST,840,970
81 ST-MUSEUM,2865,5468
72 ST,417,792
59 ST COLUMBUS,4615,17394
50 ST,7973,13103
42 ST-PORT AUTH,89292,59136
34 ST-PENN STA,104956,48578
23 ST,5125,5958
14 ST,3919,11802
W 4 ST-WASH SQ,12034,21305
SPRING ST,577,482
CANAL ST,1276,5619
CHAMBERS ST,5779,13384
FULTON ST,21552,34497
HIGH ST,892,2247
JAY ST-METROTEC,6390,7048
HOYT-SCHER,1254,2107
LAFAYETTE AV,2032,718
CLINTON-WASH AV,1317,886
FRANKLIN AV,4470,2992
NOSTRAND AV,5011,2436
KINGSTON-THROOP,2461,818
UTICA AV,16992,4222
RALPH AV,7276,1097
ROCKAWAY AV,7694,1331
BROADWAY JCT,5493,2685
LIBERTY AV,3425,839
VAN SICLEN AVE,5159,894
SHEPHERD AV,5790,555
EUCLID AV,7664,931
