STATION,AM_ENTERS,AM_EXITS
125 ST,8707.0,6616.0
145 ST,13017.0,5495.0
155 ST,4413.0,872.0
161/YANKEE STAD,17163.0,3074.0
170 ST,14841.0,1884.0
18 AV,4439.0,231.0
182-183 STS,4110.0,263.0
20 AV,3906.0,112.0
25 AV,8719.0,312.0
34 ST-HERALD SQ,14027.0,21487.0
36 ST,8497.0,2805.0
4 AV-9 ST,2427.0,2738.0
42 ST-BRYANT PK,2663.0,21098.0
47-50 STS ROCK,1975.0,22510.0
50 ST,1111.0,597.0
55 ST,826.0,112.0
59 ST COLUMBUS,4615.0,17394.0
7 AV,2311.0,16390.0
71 ST,7121.0,309.0
79 ST,7376.0,597.0
9 AV,7721.0,1523.0
ATL AV-BARCLAY,9061.0,5236.0
B'WAY-LAFAYETTE,6241.0,14463.0
BAY 50 ST,4519.0,306.0
BAY PKWY,11701.0,1502.0
BEDFORD PK BLVD,10584.0,1327.0
CONEY IS-STILLW,13607.0,4937.0
DEKALB AV,3548.0,1915.0
FORDHAM RD,8185.0,915.0
FT HAMILTON PKY,4471.0,1025.0
GRAND ST,1864.0,3031.0
KINGSBRIDGE RD,13118.0,1982.0
NEW UTRECHT AV,5167.0,664.0
NORWOOD 205 ST,14651.0,1712.0
TREMONT AV,18427.0,3098.0
W 4 ST-WASH SQ,12034.0,21305.0
