,STATION,AM_ENTERS,AM_EXITS,AM_AVG_ENTER,AM_AVG_EXIT
0,NORWOOD 205 ST,14651,1712,2930.2,342.4
1,BEDFORD PK BLVD,10584,1327,2116.8,265.4
2,KINGSBRIDGE RD,13118,1982,2623.6,396.4
3,FORDHAM RD,8185,915,1637.0,183.0
4,182-183 STS,4110,263,822.0,52.6
5,TREMONT AV,18427,3098,3685.4,619.6
6,170 ST,14841,1884,2968.2,376.8
7,161/YANKEE STAD,17163,3074,3432.6,614.8
8,155 ST,4413,872,882.6,174.4
9,145 ST,13017,5495,2603.4,1099.0
10,125 ST,8707,6616,1741.4,1323.2
11,59 ST COLUMBUS,4615,17394,923.0,3478.8
12,7 AV,2311,16390,462.2,3278.0
13,47-50 STS ROCK,1975,22510,395.0,4502.0
14,42 ST-BRYANT PK,2663,21098,532.6,4219.6
15,34 ST-HERALD SQ,14027,21487,2805.4,4297.4
16,W 4 ST-WASH SQ,12034,21305,2406.8,4261.0
17,B'WAY-LAFAYETTE,6241,14463,1248.2,2892.6
18,GRAND ST,1864,3031,372.8,606.2
19,DEKALB AV,3548,1915,709.6,383.0
20,ATL AV-BARCLAY,9061,5236,1812.2,1047.2
21,36 ST,8497,2805,1699.4,561.0
22,9 AV,7721,1523,1544.2,304.6
23,FT HAMILTON PKY,4471,1025,894.2,205.0
24,50 ST,1111,597,222.2,119.4
25,55 ST,826,112,165.2,22.4
26,NEW UTRECHT AV,5167,664,1033.4,132.8
27,71 ST,7121,309,1424.2,61.8
28,79 ST,7376,597,1475.2,119.4
29,18 AV,4439,231,887.8,46.2
30,20 AV,3906,112,781.2,22.4
31,BAY PKWY,11701,1502,2340.2,300.4
32,25 AV,8719,312,1743.8,62.4
33,BAY 50 ST,4519,306,903.8,61.2
34,CONEY IS-STILLW,13607,4937,2721.4,987.4
