STATION,AM_ENTERS,AM_EXITS
NORWOOD 205 ST,14651,1712
BEDFORD PK BLVD,10584,1327
KINGSBRIDGE RD,13118,1982
FORDHAM RD,8185,915
182-183 STS,4110,263
TREMONT AV,18427,3098
170 ST,14841,1884
161/YANKEE STAD,17163,3074
155 ST,4413,872
145 ST,13017,5495
125 ST,8707,6616
59 ST COLUMBUS,4615,17394
7 AV,2311,16390
47-50 STS ROCK,1975,22510
42 ST-BRYANT PK,2663,21098
34 ST-HERALD SQ,14027,21487
W 4 ST-WASH SQ,12034,21305
B'WAY-LAFAYETTE,6241,14463
GRAND ST,1864,3031
DEKALB AV,3548,1915
ATL AV-BARCLAY,9061,5236
36 ST,8497,2805
9 AV,7721,1523
FT HAMILTON PKY,4471,1025
50 ST,1111,597
55 ST,826,112
NEW UTRECHT AV,5167,664
71 ST,7121,309
79 ST,7376,597
18 AV,4439,231
20 AV,3906,112
BAY PKWY,11701,1502
25 AV,8719,312
BAY 50 ST,4519,306
CONEY IS-STILLW,13607,4937
