STATION,AM_ENTERS,AM_EXITS
14 ST,3919.0,11802.0
23 ST,5125.0,5958.0
34 ST-PENN STA,104956.0,48578.0
42 ST-PORT AUTH,89292.0,59136.0
5 AV/53 ST,2646.0,64187.0
50 ST,7973.0,13103.0
7 AV,2311.0,16390.0
75 AV,22541.0,1481.0
BRIARWOOD,3372.0,447.0
CANAL ST,1276.0,5619.0
COURT SQ-23 ST,2791.0,5542.0
FOREST HILLS 71,31689.0,4103.0
JAMAICA CENTER,40305.0,9046.0
JAMAICA VAN WK,6515.0,3012.0
JKSN HT-ROOSVLT,26622.0,6711.0
KEW GARDENS,60288.0,19183.0
LEXINGTON AV/53,5325.0,28947.0
QUEENS PLAZA,5649.0,9460.0
SPRING ST,577.0,482.0
SUTPHIN-ARCHER,22381.0,9521.0
W 4 ST-WASH SQ,12034.0,21305.0
WORLD TRADE CTR,5779.0,13384.0
