,STATION,AM_ENTERS,AM_EXITS,AM_AVG_ENTER,AM_AVG_EXIT
0,JAMAICA CENTER,40305,9046,8061.0,1809.2
1,SUTPHIN-ARCHER,22381,9521,4476.2,1904.2
2,JAMAICA VAN WK,6515,3012,1303.0,602.4
3,BRIARWOOD,3372,447,674.4,89.4
4,KEW GARDENS,60288,19183,12057.6,3836.6
5,75 AV,22541,1481,4508.2,296.2
6,FOREST HILLS 71,31689,4103,6337.8,820.6
7,JKSN HT-ROOSVLT,26622,6711,5324.4,1342.2
8,QUEENS PLAZA,5649,9460,1129.8,1892.0
9,COURT SQ-23 ST,2791,5542,558.2,1108.4
10,LEXINGTON AV/53,5325,28947,1065.0,5789.4
11,5 AV/53 ST,2646,64187,529.2,12837.4
12,7 AV,2311,16390,462.2,3278.0
13,50 ST,7973,13103,1594.6,2620.6
14,42 ST-PORT AUTH,89292,59136,17858.4,11827.2
15,34 ST-PENN STA,104956,48578,20991.2,9715.6
16,23 ST,5125,5958,1025.0,1191.6
17,14 ST,3919,11802,783.8,2360.4
18,W 4 ST-WASH SQ,12034,21305,2406.8,4261.0
19,SPRING ST,577,482,115.4,96.4
20,CANAL ST,1276,5619,255.2,1123.8
21,WORLD TRADE CTR,5779,13384,1155.8,2676.8
