STATION,AM_ENTERS,AM_EXITS
JAMAICA CENTER,40305,9046
SUTPHIN-ARCHER,22381,9521
JAMAICA VAN WK,6515,3012
BRIARWOOD,3372,447
KEW GARDENS,60288,19183
75 AV,22541,1481
FOREST HILLS 71,31689,4103
JKSN HT-ROOSVLT,26622,6711
QUEENS PLAZA,5649,9460
COURT SQ-23 ST,2791,5542
LEXINGTON AV/53,5325,28947
5 AV/53 ST,2646,64187
7 AV,2311,16390
50 ST,7973,13103
42 ST-PORT AUTH,89292,59136
34 ST-PENN STA,104956,48578
23 ST,5125,5958
14 ST,3919,11802
W 4 ST-WASH SQ,12034,21305
SPRING ST,577,482
CANAL ST,1276,5619
WORLD TRADE CTR,5779,13384
