STATION,AM_ENTERS,AM_EXITS
14 ST,5370.0,7648.0
15 ST-PROSPECT,3160.0,578.0
169 ST,7302.0,1477.0
18 AV,2050.0,315.0
2 AV,2035.0,2595.0
21 ST-QNSBRIDGE,3780.0,2624.0
34 ST-HERALD SQ,14027.0,21487.0
4 AV-9 ST,2427.0,2738.0
42 ST-BRYANT PK,2663.0,21098.0
47-50 STS ROCK,1975.0,22510.0
6 AV,789.0,518.0
7 AV,8270.0,3252.0
75 AV,22541.0,1481.0
AVENUE I,1630.0,500.0
AVENUE N,3688.0,343.0
AVENUE P,2699.0,210.0
AVENUE U,2936.0,390.0
AVENUE X,2047.0,321.0
B'WAY-LAFAYETTE,6241.0,14463.0
BAY PKWY,1440.0,265.0
BERGEN ST,6602.0,3242.0
BRIARWOOD,3372.0,447.0
CARROLL ST,1937.0,715.0
CHURCH AV,4952.0,941.0
CONEY IS-STILLW,13607.0,4937.0
DELANCEY/ESSEX,11395.0,10759.0
DITMAS AV,5369.0,651.0
EAST BROADWAY,2475.0,1597.0
FOREST HILLS 71,31689.0,4103.0
FT HAMILTON PKY,6955.0,372.0
JAMAICA 179 ST,22470.0,1836.0
JAY ST-METROTEC,6390.0,7048.0
JKSN HT-ROOSVLT,26622.0,6711.0
KEW GARDENS,60288.0,19183.0
KINGS HWY,5796.0,1176.0
LEXINGTON AV/63,1898.0,7259.0
NEPTUNE AV,2013.0,433.0
PARSONS BLVD,5275.0,1483.0
ROOSEVELT ISLND,1348.0,717.0
SMITH-9 ST,1177.0,2112.0
SUTPHIN BLVD,6212.0,1035.0
W 4 ST-WASH SQ,12034.0,21305.0
W 8 ST-AQUARIUM,904.0,182.0
YORK ST,4379.0,3255.0
