,STATION,AM_ENTERS,AM_EXITS,AM_AVG_ENTER,AM_AVG_EXIT
0,JAMAICA 179 ST,22470,1836,4494.0,367.2
1,169 ST,7302,1477,1460.4,295.4
2,PARSONS BLVD,5275,1483,1055.0,296.6
3,SUTPHIN BLVD,6212,1035,1242.4,207.0
4,BRIARWOOD,3372,447,674.4,89.4
5,KEW GARDENS,60288,19183,12057.6,3836.6
6,75 AV,22541,1481,4508.2,296.2
7,FOREST HILLS 71,31689,4103,6337.8,820.6
8,JKSN HT-ROOSVLT,26622,6711,5324.4,1342.2
9,21 ST-QNSBRIDGE,3780,2624,756.0,524.8
10,ROOSEVELT ISLND,1348,717,269.6,143.4
11,LEXINGTON AV/63,1898,7259,379.6,1451.8
12,47-50 STS ROCK,1975,22510,395.0,4502.0
13,42 ST-BRYANT PK,2663,21098,532.6,4219.6
14,34 ST-HERALD SQ,14027,21487,2805.4,4297.4
15,6 AV,789,518,157.8,103.6
16,14 ST,5370,7648,1074.0,1529.6
17,W 4 ST-WASH SQ,12034,21305,2406.8,4261.0
18,B'WAY-LAFAYETTE,6241,14463,1248.2,2892.6
19,2 AV,2035,2595,407.0,519.0
20,DELANCEY/ESSEX,11395,10759,2279.0,2151.8
21,EAST BROADWAY,2475,1597,495.0,319.4
22,YORK ST,4379,3255,875.8,651.0
23,JAY ST-METROTEC,6390,7048,1278.0,1409.6
24,BERGEN ST,6602,3242,1320.4,648.4
25,CARROLL ST,1937,715,387.4,143.0
26,SMITH-9 ST,1177,2112,235.4,422.4
27,4 AV-9 ST,2427,2738,485.4,547.6
28,7 AV,8270,3252,1654.0,650.4
29,15 ST-PROSPECT,3160,578,632.0,115.6
30,FT HAMILTON PKY,6955,372,1391.0,74.4
31,CHURCH AV,4952,941,990.4,188.2
32,DITMAS AV,5369,651,1073.8,130.2
33,18 AV,2050,315,410.0,63.0
34,AVENUE I,1630,500,326.0,100.0
35,BAY PKWY,1440,265,288.0,53.0
36,AVENUE N,3688,343,737.6,68.6
37,AVENUE P,2699,210,539.8,42.0
38,KINGS HWY,5796,1176,1159.2,235.2
39,AVENUE U,2936,390,587.2,78.0
40,AVENUE X,2047,321,409.4,64.2
41,NEPTUNE AV,2013,433,402.6,86.6
42,W 8 ST-AQUARIUM,904,182,180.8,36.4
43,CONEY IS-STILLW,13607,4937,2721.4,987.4
