STATION,AM_ENTERS,AM_EXITS
JAMAICA 179 ST,22470,1836
169 ST,7302,1477
PARSONS BLVD,5275,1483
SUTPHIN BLVD,6212,1035
BRIARWOOD,3372,447
KEW GARDENS,60288,19183
75 AV,22541,1481
FOREST HILLS 71,31689,4103
JKSN HT-ROOSVLT,26622,6711
21 ST-QNSBRIDGE,3780,2624
ROOSEVELT ISLND,1348,717
LEXINGTON AV/63,1898,7259
47-50 STS ROCK,1975,22510
42 ST-BRYANT PK,2663,21098
34 ST-HERALD SQ,14027,21487
6 AV,789,518
14 ST,5370,7648
W 4 ST-WASH SQ,12034,21305
B'WAY-LAFAYETTE,6241,14463
2 AV,2035,2595
DELANCEY/ESSEX,11395,10759
EAST BROADWAY,2475,1597
YORK ST,4379,3255
JAY ST-METROTEC,6390,7048
BERGEN ST,6602,3242
CARROLL ST,1937,715
SMITH-9 ST,1177,2112
4 AV-9 ST,2427,2738
7 AV,8270,3252
15 ST-PROSPECT,3160,578
FT HAMILTON PKY,6955,372
CHURCH AV,4952,941
DITMAS AV,5369,651
18 AV,2050,315
AVENUE I,1630,500
BAY PKWY,1440,265
AVENUE N,3688,343
AVENUE P,2699,210
KINGS HWY,5796,1176
AVENUE U,2936,390
AVENUE X,2047,321
NEPTUNE AV,2013,433
W 8 ST-AQUARIUM,904,182
CONEY IS-STILLW,13607,4937
