STATION,AM_ENTERS,AM_EXITS
15 ST-PROSPECT,3160.0,578.0
21 ST,604.0,2018.0
4 AV-9 ST,2427.0,2738.0
42 ST-PORT AUTH,6912.0,12853.0
7 AV,8270.0,3252.0
BEDFORD-NOSTRAN,3008.0,497.0
BERGEN ST,6602.0,3242.0
BROADWAY,4180.0,1875.0
CARROLL ST,1937.0,715.0
CHURCH AV,4952.0,941.0
CLASSON AV,1567.0,729.0
CLINTON-WASH AV,3354.0,203.0
COURT SQ-23 ST,2791.0,5542.0
FLUSHING AV,2639.0,3028.0
FT HAMILTON PKY,6955.0,372.0
FULTON ST,1032.0,728.0
GREENPOINT AV,2440.0,2093.0
HOYT-SCHER,1254.0,2107.0
METROPOLITAN AV,8417.0,2457.0
MYRTLE-WILLOUGH,6247.0,1380.0
NASSAU AV,2605.0,1265.0
SMITH-9 ST,1177.0,2112.0
