,STATION,AM_ENTERS,AM_EXITS,AM_AVG_ENTER,AM_AVG_EXIT
0,COURT SQ-23 ST,2791,5542,558.2,1108.4
1,21 ST,604,2018,120.8,403.6
2,GREENPOINT AV,2440,2093,488.0,418.6
3,NASSAU AV,2605,1265,521.0,253.0
4,METROPOLITAN AV,8417,2457,1683.4,491.4
5,BROADWAY,4180,1875,836.0,375.0
6,FLUSHING AV,2639,3028,527.8,605.6
7,MYRTLE-WILLOUGH,6247,1380,1249.4,276.0
8,BEDFORD-NOSTRAN,3008,497,601.6,99.4
9,CLASSON AV,1567,729,313.4,145.8
10,CLINTON-WASH AV,3354,203,670.8,40.6
11,FULTON ST,1032,728,206.4,145.6
12,HOYT-SCHER,1254,2107,250.8,421.4
13,BERGEN ST,6602,3242,1320.4,648.4
14,CARROLL ST,1937,715,387.4,143.0
15,SMITH-9 ST,1177,2112,235.4,422.4
16,4 AV-9 ST,2427,2738,485.4,547.6
17,7 AV,8270,3252,1654.0,650.4
18,15 ST-PROSPECT,3160,578,632.0,115.6
19,FT HAMILTON PKY,6955,372,1391.0,74.4
20,CHURCH AV,4952,941,990.4,188.2
