,STATION,AM_ENTERS,AM_EXITS,AM_AVG_ENTER,AM_AVG_EXIT
0,JAMAICA CENTER,33067,5697,6613.4,1139.4
1,SUTPHIN-ARCHER,22381,9521,4476.2,1904.2
2,121 ST,1251,253,250.2,50.6
3,111 ST,2451,313,490.2,62.6
4,104 ST,1539,35,307.8,7.0
5,WOODHAVEN BLVD,3887,579,777.4,115.8
6,85 ST-FOREST PK,4103,274,820.6,54.8
7,75 ST-ELDERTS,3857,295,771.4,59.0
8,CYPRESS HILLS,1477,241,295.4,48.2
9,CRESCENT ST,8213,1198,1642.6,239.6
10,NORWOOD AV,5637,987,1127.4,197.4
11,CLEVELAND ST,5150,924,1030.0,184.8
12,VAN SICLEN AV,4576,786,915.2,157.2
13,ALABAMA AV,1999,1922,399.8,384.4
14,BROADWAY JCT,5493,2685,1098.6,537.0
15,CHAUNCEY ST,3605,410,721.0,82.0
16,HALSEY ST,7278,820,1455.6,164.0
17,GATES AV,7030,813,1406.0,162.6
18,KOSCIUSZKO ST,5320,703,1064.0,140.6
19,MYRTLE AV,10574,1876,2114.8,375.2
20,FLUSHING AV,4825,2513,965.0,502.6
21,LORIMER ST,2318,949,463.6,189.8
22,HEWES ST,1814,496,362.8,99.2
23,MARCY AV,7384,3127,1476.8,625.4
24,DELANCEY/ESSEX,11395,10759,2279.0,2151.8
25,BOWERY,354,1023,70.8,204.6
26,CANAL ST,5204,12597,1040.8,2519.4
27,CHAMBERS ST,1837,7698,367.4,1539.6
28,FULTON ST,21552,34497,4310.4,6899.4
29,BROAD ST,841,2089,168.2,417.8
