STATION,AM_ENTERS,AM_EXITS
JAMAICA CENTER,33067,5697
SUTPHIN-ARCHER,22381,9521
121 ST,1251,253
111 ST,2451,313
104 ST,1539,35
WOODHAVEN BLVD,3887,579
85 ST-FOREST PK,4103,274
75 ST-ELDERTS,3857,295
CYPRESS HILLS,1477,241
CRESCENT ST,8213,1198
NORWOOD AV,5637,987
CLEVELAND ST,5150,924
VAN SICLEN AV,4576,786
ALABAMA AV,1999,1922
BROADWAY JCT,5493,2685
CHAUNCEY ST,3605,410
HALSEY ST,7278,820
GATES AV,7030,813
KOSCIUSZKO ST,5320,703
MYRTLE AV,10574,1876
FLUSHING AV,4825,2513
LORIMER ST,2318,949
HEWES ST,1814,496
MARCY AV,7384,3127
DELANCEY/ESSEX,11395,10759
BOWERY,354,1023
CANAL ST,5204,12597
CHAMBERS ST,1837,7698
FULTON ST,21552,34497
BROAD ST,841,2089
