STATION,AM_ENTERS,AM_EXITS
1 AV,2173.0,5427.0
14 ST-UNION SQ,17962.0,48134.0
3 AV,332.0,1632.0
6 AV,10078.0,19968.0
8 AV,4572.0,6636.0
ATLANTIC AV,897.0,376.0
BEDFORD AV,8934.0,6927.0
BROADWAY JCT,5493.0,2685.0
BUSHWICK AV,964.0,166.0
CANARSIE-ROCKAW,19557.0,919.0
DEKALB AV,6019.0,420.0
EAST 105 ST,6436.0,2451.0
GRAHAM AV,2131.0,1615.0
GRAND ST,1924.0,1930.0
HALSEY ST,5003.0,443.0
JEFFERSON ST,2418.0,427.0
LIVONIA AV,4445.0,1454.0
LORIMER ST,8417.0,2457.0
MONTROSE AV,1557.0,953.0
MORGAN AV,1604.0,1054.0
MYRTLE-WYCKOFF,11845.0,1651.0
NEW LOTS,8184.0,1984.0
SUTTER AV,5518.0,904.0
WILSON AV,2132.0,349.0
