,STATION,AM_ENTERS,AM_EXITS,AM_AVG_ENTER,AM_AVG_EXIT
0,8 AV,4572,6636,914.4,1327.2
1,6 AV,10078,19968,2015.6,3993.6
2,14 ST-UNION SQ,17962,48134,3592.4,9626.8
3,3 AV,332,1632,66.4,326.4
4,1 AV,2173,5427,434.6,1085.4
5,BEDFORD AV,8934,6927,1786.8,1385.4
6,LORIMER ST,8417,2457,1683.4,491.4
7,GRAHAM AV,2131,1615,426.2,323.0
8,GRAND ST,1924,1930,384.8,386.0
9,MONTROSE AV,1557,953,311.4,190.6
10,MORGAN AV,1604,1054,320.8,210.8
11,JEFFERSON ST,2418,427,483.6,85.4
12,DEKALB AV,6019,420,1203.8,84.0
13,MYRTLE-WYCKOFF,11845,1651,2369.0,330.2
14,HALSEY ST,5003,443,1000.6,88.6
15,WILSON AV,2132,349,426.4,69.8
16,BUSHWICK AV,964,166,192.8,33.2
17,BROADWAY JCT,5493,2685,1098.6,537.0
18,ATLANTIC AV,897,376,179.4,75.2
19,SUTTER AV,5518,904,1103.6,180.8
20,LIVONIA AV,4445,1454,889.0,290.8
21,NEW LOTS,8184,1984,1636.8,396.8
22,EAST 105 ST,6436,2451,1287.2,490.2
23,CANARSIE-ROCKAW,19557,919,3911.4,183.8
