STATION,AM_ENTERS,AM_EXITS
8 AV,4572,6636
6 AV,10078,19968
14 ST-UNION SQ,17962,48134
3 AV,332,1632
1 AV,2173,5427
BEDFORD AV,8934,6927
LORIMER ST,8417,2457
GRAHAM AV,2131,1615
GRAND ST,1924,1930
MONTROSE AV,1557,953
MORGAN AV,1604,1054
JEFFERSON ST,2418,427
DEKALB AV,6019,420
MYRTLE-WYCKOFF,11845,1651
HALSEY ST,5003,443
WILSON AV,2132,349
BUSHWICK AV,964,166
BROADWAY JCT,5493,2685
ATLANTIC AV,897,376
SUTTER AV,5518,904
LIVONIA AV,4445,1454
NEW LOTS,8184,1984
EAST 105 ST,6436,2451
CANARSIE-ROCKAW,19557,919
