STATION,AM_ENTERS,AM_EXITS
14 ST,5370.0,7648.0
34 ST-HERALD SQ,14027.0,21487.0
36 ST,1761.0,3554.0
4 AV-9 ST,641.0,949.0
42 ST-BRYANT PK,2663.0,21098.0
46 ST,9307.0,3049.0
47-50 STS ROCK,1975.0,22510.0
4AV-9 ST,1786.0,1789.0
5 AV/53 ST,2646.0,64187.0
6 AV,789.0,518.0
63 DR-REGO PARK,7434.0,783.0
65 ST,4748.0,828.0
67 AV,6762.0,884.0
CENTRAL AV,3902.0,1033.0
COURT SQ-23 ST,2791.0,5542.0
DELANCEY/ESSEX,11395.0,10759.0
ELMHURST AV,7959.0,340.0
FLUSHING AV,4825.0,2513.0
FOREST AVE,6814.0,688.0
FOREST HILLS 71,31689.0,4103.0
FRESH POND RD,10228.0,1185.0
GRAND-NEWTOWN,12594.0,1116.0
HEWES ST,1814.0,496.0
JKSN HT-ROOSVLT,26622.0,6711.0
KNICKERBOCKER,3977.0,1457.0
LEXINGTON AV/53,5325.0,28947.0
LORIMER ST,2318.0,949.0
MARCY AV,7384.0,3127.0
METROPOLITAN AV,3614.0,1463.0
MYRTLE AV,10574.0,1876.0
MYRTLE-WYCKOFF,11845.0,1651.0
NORTHERN BLVD,8977.0,2937.0
QUEENS PLAZA,5649.0,9460.0
SENECA AVE,3996.0,582.0
STEINWAY ST,4818.0,1927.0
W 4 ST-WASH SQ,12034.0,21305.0
WOODHAVEN BLVD,25602.0,2431.0
