,STATION,AM_ENTERS,AM_EXITS,AM_AVG_ENTER,AM_AVG_EXIT
0,FOREST HILLS 71,31689,4103,6337.8,820.6
1,67 AV,6762,884,1352.4,176.8
2,63 DR-REGO PARK,7434,783,1486.8,156.6
3,WOODHAVEN BLVD,25602,2431,5120.4,486.2
4,GRAND-NEWTOWN,12594,1116,2518.8,223.2
5,ELMHURST AV,7959,340,1591.8,68.0
6,JKSN HT-ROOSVLT,26622,6711,5324.4,1342.2
7,65 ST,4748,828,949.6,165.6
8,NORTHERN BLVD,8977,2937,1795.4,587.4
9,46 ST,9307,3049,1861.4,609.8
10,STEINWAY ST,4818,1927,963.6,385.4
11,36 ST,1761,3554,352.2,710.8
12,QUEENS PLAZA,5649,9460,1129.8,1892.0
13,COURT SQ-23 ST,2791,5542,558.2,1108.4
14,LEXINGTON AV/53,5325,28947,1065.0,5789.4
15,5 AV/53 ST,2646,64187,529.2,12837.4
16,47-50 STS ROCK,1975,22510,395.0,4502.0
17,42 ST-BRYANT PK,2663,21098,532.6,4219.6
18,34 ST-HERALD SQ,14027,21487,2805.4,4297.4
19,6 AV,789,518,157.8,103.6
20,14 ST,5370,7648,1074.0,1529.6
21,W 4 ST-WASH SQ,12034,21305,2406.8,4261.0
22,B'WAY-LAFAYETTE,6241,14463,1248.2,2892.6
23,DELANCEY/ESSEX,11395,10759,2279.0,2151.8
24,MARCY AV,7384,3127,1476.8,625.4
25,HEWES ST,1814,496,362.8,99.2
26,LORIMER ST,2318,949,463.6,189.8
27,FLUSHING AV,4825,2513,965.0,502.6
28,MYRTLE AV,10574,1876,2114.8,375.2
29,CENTRAL AV,3902,1033,780.4,206.6
30,KNICKERBOCKER,3977,1457,795.4,291.4
31,MYRTLE-WYCKOFF,11845,1651,2369.0,330.2
32,SENECA AVE,3996,582,799.2,116.4
33,FOREST AVE,6814,688,1362.8,137.6
34,FRESH POND RD,10228,1185,2045.6,237.0
35,METROPOLITAN AV,3614,1463,722.8,292.6
