STATION,AM_ENTERS,AM_EXITS
FOREST HILLS 71,31689,4103
67 AV,6762,884
63 DR-REGO PARK,7434,783
WOODHAVEN BLVD,25602,2431
GRAND-NEWTOWN,12594,1116
ELMHURST AV,7959,340
JKSN HT-ROOSVLT,26622,6711
65 ST,4748,828
NORTHERN BLVD,8977,2937
46 ST,9307,3049
STEINWAY ST,4818,1927
36 ST,1761,3554
QUEENS PLAZA,5649,9460
COURT SQ-23 ST,2791,5542
LEXINGTON AV/53,5325,28947
5 AV/53 ST,2646,64187
47-50 STS ROCK,1975,22510
42 ST-BRYANT PK,2663,21098
34 ST-HERALD SQ,14027,21487
6 AV,789,518
14 ST,5370,7648
W 4 ST-WASH SQ,12034,21305
B'WAY-LAFAYETTE,6241,14463
DELANCEY/ESSEX,11395,10759
MARCY AV,7384,3127
HEWES ST,1814,496
LORIMER ST,2318,949
FLUSHING AV,4825,2513
MYRTLE AV,10574,1876
CENTRAL AV,3902,1033
KNICKERBOCKER,3977,1457
MYRTLE-WYCKOFF,11845,1651
SENECA AVE,3996,582
FOREST AVE,6814,688
FRESH POND RD,10228,1185
METROPOLITAN AV,3614,1463
