STATION,AM_ENTERS,AM_EXITS
14 ST-UNION SQ,17962.0,48134.0
18 AV,4645.0,278.0
20 AV,6406.0,300.0
23 ST,982.0,2788.0
28 ST,623.0,3079.0
30 AV,6376.0,1530.0
34 ST-HERALD SQ,14027.0,21487.0
36 AV,3598.0,1718.0
36 ST,8497.0,2805.0
4 AV-9 ST,641.0,949.0
49 ST,1351.0,6840.0
4AV-9 ST,1786.0,1789.0
5 AV/59 ST,2796.0,18810.0
57 ST-7 AV,2206.0,8214.0
59 ST,2802.0,14181.0
59 ST 4 AV,6767.0,1097.0
8 AV,9474.0,2507.0
8 ST-NYU,1081.0,1320.0
86 ST,3528.0,581.0
ASTORIA BLVD,5115.0,1111.0
ASTORIA DITMARS,13218.0,1005.0
ATL AV-BARCLAY,9061.0,5236.0
AVENUE U,3142.0,139.0
BAY PKWY,11490.0,129.0
CANAL ST,5204.0,12597.0
CITY HALL,181.0,807.0
CONEY IS-STILLW,13607.0,4937.0
CORTLANDT ST,5259.0,9029.0
DEKALB AV,3548.0,1915.0
FT HAMILTON PKY,5299.0,152.0
KINGS HWY,5600.0,405.0
NEW UTRECHT AV,5167.0,664.0
PRINCE ST,350.0,1686.0
QUEENSBORO PLZ,2983.0,1833.0
RECTOR ST,606.0,701.0
TIMES SQ-42 ST,89292.0,59136.0
