STATION,AM_ENTERS,AM_EXITS
ASTORIA DITMARS,13218,1005
ASTORIA BLVD,5115,1111
30 AV,6376,1530
36 AV,3598,1718
QUEENSBORO PLZ,2983,1833
59 ST,2802,14181
5 AV/59 ST,2796,18810
57 ST-7 AV,2206,8214
49 ST,1351,6840
TIMES SQ-42 ST,89292,59136
34 ST-HERALD SQ,14027,21487
28 ST,623,3079
23 ST,982,2788
14 ST-UNION SQ,17962,48134
8 ST-NYU,1081,1320
PRINCE ST,350,1686
CANAL ST,5204,12597
ATL AV-BARCLAY,9061,5236
36 ST,8497,2805
59 ST 4 AV,6767,1097
8 AV,9474,2507
FT HAMILTON PKY,5299,152
NEW UTRECHT AV,5167,664
18 AV,4645,278
20 AV,6406,300
BAY PKWY,11490,129
KINGS HWY,5600,405
AVENUE U,3142,139
86 ST,3528,581
CONEY IS-STILLW,13607,4937
