STATION,AM_ENTERS,AM_EXITS
14 ST-UNION SQ,17962.0,48134.0
30 AV,6376.0,1530.0
34 ST-HERALD SQ,14027.0,21487.0
36 AV,3598.0,1718.0
49 ST,1351.0,6840.0
5 AV/59 ST,2796.0,18810.0
57 ST-7 AV,2206.0,8214.0
59 ST,2802.0,14181.0
7 AV,6456.0,2682.0
72 ST-2 AVE,10584.0,20701.0
86 ST-2 AVE,18322.0,7555.0
96 ST-2 AVE,16102.0,6955.0
ASTORIA BLVD,5115.0,1111.0
ASTORIA DITMARS,13218.0,1005.0
ATL AV-BARCLAY,9061.0,5236.0
AVENUE H,1368.0,258.0
AVENUE J,4610.0,1118.0
AVENUE M,4135.0,1302.0
AVENUE U,10145.0,735.0
B'WAY-LAFAYETTE,2224.0,12377.0
BEVERLEY ROAD,1836.0,248.0
BRIGHTON BEACH,6065.0,689.0
CANAL ST,5204.0,12597.0
CHURCH AV,9285.0,1593.0
CONEY IS-STILLW,13607.0,4937.0
CORTELYOU RD,3499.0,218.0
DEKALB AV,3548.0,1915.0
KINGS HWY,9735.0,1580.0
NECK RD,2894.0,84.0
NEWKIRK PLAZA,15685.0,2701.0
OCEAN PKWY,2046.0,322.0
PARKSIDE AV,6968.0,1031.0
PROSPECT PARK,3736.0,1202.0
QUEENSBORO PLZ,2983.0,1833.0
SHEEPSHEAD BAY,21155.0,3562.0
TIMES SQ-42 ST,82380.0,46283.0
W 8 ST-AQUARIUM,904.0,182.0
