,STATION,AM_ENTERS,AM_EXITS,AM_AVG_ENTER,AM_AVG_EXIT
0,96 ST-2 AVE,16102,6955,3220.4,1391.0
1,86 ST-2 AVE,18322,7555,3664.4,1511.0
2,72 ST-2 AVE,10584,20701,2116.8,4140.2
3,5 AV/59 ST,2796,18810,559.2,3762.0
4,57 ST-7 AV,2206,8214,441.2,1642.8
5,49 ST,1351,6840,270.2,1368.0
6,TIMES SQ-42 ST,82380,46283,16476.0,9256.6
7,34 ST-HERALD SQ,14027,21487,2805.4,4297.4
8,14 ST-UNION SQ,17962,48134,3592.4,9626.8
9,CANAL ST,5204,12597,1040.8,2519.4
10,DEKALB AV,3548,1915,709.6,383.0
11,ATL AV-BARCLAY,9061,5236,1812.2,1047.2
12,7 AV,6456,2682,1291.2,536.4
13,PROSPECT PARK,3736,1202,747.2,240.4
14,PARKSIDE AV,6968,1031,1393.6,206.2
15,CHURCH AV,9285,1593,1857.0,318.6
16,BEVERLEY ROAD,1836,248,367.2,49.6
17,CORTELYOU RD,3499,218,699.8,43.6
18,NEWKIRK PLAZA,15685,2701,3137.0,540.2
19,AVENUE H,1368,258,273.6,51.6
20,AVENUE J,4610,1118,922.0,223.6
21,AVENUE M,4135,1302,827.0,260.4
22,KINGS HWY,9735,1580,1947.0,316.0
23,AVENUE U,10145,735,2029.0,147.0
24,NECK RD,2894,84,578.8,16.8
25,SHEEPSHEAD BAY,21155,3562,4231.0,712.4
26,BRIGHTON BEACH,6065,689,1213.0,137.8
27,OCEAN PKWY,2046,322,409.2,64.4
28,W 8 ST-AQUARIUM,904,182,180.8,36.4
29,CONEY IS-STILLW,13607,4937,2721.4,987.4
