STATION,AM_ENTERS,AM_EXITS
96 ST-2 AVE,16102,6955
86 ST-2 AVE,18322,7555
72 ST-2 AVE,10584,20701
5 AV/59 ST,2796,18810
57 ST-7 AV,2206,8214
49 ST,1351,6840
TIMES SQ-42 ST,82380,46283
34 ST-HERALD SQ,14027,21487
14 ST-UNION SQ,17962,48134
CANAL ST,5204,12597
DEKALB AV,3548,1915
ATL AV-BARCLAY,9061,5236
7 AV,6456,2682
PROSPECT PARK,3736,1202
PARKSIDE AV,6968,1031
CHURCH AV,9285,1593
BEVERLEY ROAD,1836,248
CORTELYOU RD,3499,218
NEWKIRK PLAZA,15685,2701
AVENUE H,1368,258
AVENUE J,4610,1118
AVENUE M,4135,1302
KINGS HWY,9735,1580
AVENUE U,10145,735
NECK RD,2894,84
SHEEPSHEAD BAY,21155,3562
BRIGHTON BEACH,6065,689
OCEAN PKWY,2046,322
W 8 ST-AQUARIUM,904,182
CONEY IS-STILLW,13607,4937
