STATION,AM_ENTERS,AM_EXITS
14 ST-UNION SQ,17962.0,48134.0
23 ST,982.0,2788.0
25 ST,881.0,759.0
28 ST,623.0,3079.0
34 ST-HERALD SQ,14027.0,21487.0
36 ST,1761.0,3554.0
36 ST 4 AV,8497.0,2805.0
4 AV-9 ST,2427.0,2738.0
45 ST,4567.0,614.0
46 ST,9307.0,3049.0
49 ST,1351.0,6840.0
5 AV/59 ST,2796.0,18810.0
53 ST,4961.0,1804.0
57 ST-7 AV,2206.0,8214.0
59 ST,2802.0,14181.0
59 ST 4 AV,6767.0,1097.0
63 DR-REGO PARK,7434.0,783.0
65 ST,4748.0,828.0
67 AV,6762.0,884.0
77 ST,3461.0,202.0
8 ST-NYU,1081.0,1320.0
86 ST,7239.0,1101.0
ATL AV-BARCLAY,9061.0,5236.0
BAY RIDGE AV,4264.0,398.0
BAY RIDGE-95 ST,3833.0,442.0
BOROUGH HALL,4657.0,7477.0
CANAL ST,5204.0,12597.0
CITY HALL,181.0,807.0
CORTLANDT ST,5259.0,9029.0
DEKALB AV,3548.0,1915.0
ELMHURST AV,7959.0,340.0
FOREST HILLS 71,31689.0,4103.0
GRAND-NEWTOWN,12594.0,1116.0
JAY ST-METROTEC,329.0,546.0
JKSN HT-ROOSVLT,26622.0,6711.0
NORTHERN BLVD,8977.0,2937.0
PRINCE ST,350.0,1686.0
PROSPECT AV,1587.0,1218.0
QUEENS PLAZA,5649.0,9460.0
RECTOR ST,606.0,701.0
RIT-MANHATTAN,373.0,31.0
STEINWAY ST,4818.0,1927.0
TIMES SQ-42 ST,89292.0,59136.0
UNION ST,1298.0,1320.0
WHITEHALL S-FRY,20673.0,11809.0
WOODHAVEN BLVD,25602.0,2431.0
