,STATION,AM_ENTERS,AM_EXITS,AM_AVG_ENTER,AM_AVG_EXIT
0,FOREST HILLS 71,31689,4103,6337.8,820.6
1,67 AV,6762,884,1352.4,176.8
2,63 DR-REGO PARK,7434,783,1486.8,156.6
3,WOODHAVEN BLVD,25602,2431,5120.4,486.2
4,GRAND-NEWTOWN,12594,1116,2518.8,223.2
5,ELMHURST AV,7959,340,1591.8,68.0
6,JKSN HT-ROOSVLT,26622,6711,5324.4,1342.2
7,65 ST,4748,828,949.6,165.6
8,NORTHERN BLVD,8977,2937,1795.4,587.4
9,46 ST,9307,3049,1861.4,609.8
10,STEINWAY ST,4818,1927,963.6,385.4
11,36 ST,1761,3554,352.2,710.8
12,QUEENS PLAZA,5649,9460,1129.8,1892.0
13,59 ST,2802,14181,560.4,2836.2
14,5 AV/59 ST,2796,18810,559.2,3762.0
15,57 ST-7 AV,2206,8214,441.2,1642.8
16,49 ST,1351,6840,270.2,1368.0
17,TIMES SQ-42 ST,89292,59136,17858.4,11827.2
18,34 ST-HERALD SQ,14027,21487,2805.4,4297.4
19,28 ST,623,3079,124.6,615.8
20,23 ST,982,2788,196.4,557.6
21,14 ST-UNION SQ,17962,48134,3592.4,9626.8
22,8 ST-NYU,1081,1320,216.2,264.0
23,PRINCE ST,350,1686,70.0,337.2
24,CANAL ST,5204,12597,1040.8,2519.4
25,CITY HALL,181,807,36.2,161.4
26,CORTLANDT ST,5259,9029,1051.8,1805.8
27,RECTOR ST,606,701,121.2,140.2
28,WHITEHALL S-FRY,20673,11809,4134.6,2361.8
29,BOROUGH HALL,4657,7477,931.4,1495.4
30,JAY ST-METROTEC,329,546,65.8,109.2
31,DEKALB AV,3548,1915,709.6,383.0
32,ATL AV-BARCLAY,9061,5236,1812.2,1047.2
33,UNION ST,1298,1320,259.6,264.0
34,4 AV-9 ST,2427,2738,485.4,547.6
35,PROSPECT AV,1587,1218,317.4,243.6
36,25 ST,881,759,176.2,151.8
37,36 ST 4 AV,8497,2805,1699.4,561.0
38,45 ST,4567,614,913.4,122.8
39,53 ST,4961,1804,992.2,360.8
40,59 ST 4 AV,6767,1097,1353.4,219.4
41,BAY RIDGE AV,4264,398,852.8,79.6
42,77 ST,3461,202,692.2,40.4
43,86 ST,7239,1101,1447.8,220.2
44,BAY RIDGE-95 ST,3833,442,766.6,88.4
