STATION,AM_ENTERS,AM_EXITS
FOREST HILLS 71,31689,4103
67 AV,6762,884
63 DR-REGO PARK,7434,783
WOODHAVEN BLVD,25602,2431
GRAND-NEWTOWN,12594,1116
ELMHURST AV,7959,340
JKSN HT-ROOSVLT,26622,6711
65 ST,4748,828
NORTHERN BLVD,8977,2937
46 ST,9307,3049
STEINWAY ST,4818,1927
36 ST,1761,3554
QUEENS PLAZA,5649,9460
59 ST,2802,14181
5 AV/59 ST,2796,18810
57 ST-7 AV,2206,8214
49 ST,1351,6840
TIMES SQ-42 ST,89292,59136
34 ST-HERALD SQ,14027,21487
28 ST,623,3079
23 ST,982,2788
14 ST-UNION SQ,17962,48134
8 ST-NYU,1081,1320
PRINCE ST,350,1686
CANAL ST,5204,12597
CITY HALL,181,807
CORTLANDT ST,5259,9029
RECTOR ST,606,701
WHITEHALL S-FRY,20673,11809
BOROUGH HALL,4657,7477
JAY ST-METROTEC,329,546
DEKALB AV,3548,1915
ATL AV-BARCLAY,9061,5236
UNION ST,1298,1320
4 AV-9 ST,2427,2738
PROSPECT AV,1587,1218
25 ST,881,759
36 ST 4 AV,8497,2805
45 ST,4567,614
53 ST,4961,1804
59 ST 4 AV,6767,1097
BAY RIDGE AV,4264,398
77 ST,3461,202
86 ST,7239,1101
BAY RIDGE-95 ST,3833,442
