STATION,AM_ENTERS,AM_EXITS
14 ST-UNION SQ,17962.0,48134.0
23 ST,982.0,2788.0
28 ST,623.0,3079.0
30 AV,6376.0,1530.0
34 ST-HERALD SQ,14027.0,21487.0
36 AV,3598.0,1718.0
49 ST,1351.0,6840.0
5 AV/59 ST,2796.0,18810.0
57 ST-7 AV,2206.0,8214.0
59 ST,9569.0,15278.0
8 ST-NYU,1081.0,1320.0
ASTORIA BLVD,5115.0,1111.0
ASTORIA DITMARS,13218.0,1005.0
CANAL ST,5204.0,12597.0
CITY HALL,181.0,807.0
CORTLANDT ST,5259.0,9029.0
PRINCE ST,350.0,1686.0
QUEENSBORO PLZ,2983.0,1833.0
RECTOR ST,606.0,701.0
TIMES SQ-42 ST,87497.0,56788.0
WHITEHALL S-FRY,20673.0,11809.0
