,STATION,AM_ENTERS,AM_EXITS,AM_AVG_ENTER,AM_AVG_EXIT
0,ASTORIA DITMARS,13218,1005,2643.6,201.0
1,ASTORIA BLVD,5115,1111,1023.0,222.2
2,30 AV,6376,1530,1275.2,306.0
3,36 AV,3598,1718,719.6,343.6
4,QUEENSBORO PLZ,2983,1833,596.6,366.6
5,59 ST,9569,15278,1913.8,3055.6
6,5 AV/59 ST,2796,18810,559.2,3762.0
7,57 ST-7 AV,2206,8214,441.2,1642.8
8,49 ST,1351,6840,270.2,1368.0
9,TIMES SQ-42 ST,87497,56788,17499.4,11357.6
10,34 ST-HERALD SQ,14027,21487,2805.4,4297.4
11,28 ST,623,3079,124.6,615.8
12,23 ST,982,2788,196.4,557.6
13,14 ST-UNION SQ,17962,48134,3592.4,9626.8
14,8 ST-NYU,1081,1320,216.2,264.0
15,PRINCE ST,350,1686,70.0,337.2
16,CANAL ST,5204,12597,1040.8,2519.4
17,CITY HALL,181,807,36.2,161.4
18,CORTLANDT ST,5259,9029,1051.8,1805.8
19,RECTOR ST,606,701,121.2,140.2
20,WHITEHALL S-FRY,20673,11809,4134.6,2361.8
