,STATION,AM_ENTERS,AM_EXITS,AM_AVG_ENTER,AM_AVG_EXIT
0,JAMAICA CENTER,33067,5697,6613.4,1139.4
1,SUTPHIN-ARCHER,22381,9521,4476.2,1904.2
2,121 ST,1251,253,250.2,50.6
3,104 ST,1539,35,307.8,7.0
4,WOODHAVEN BLVD,3887,579,777.4,115.8
5,75 ST-ELDERTS,3857,295,771.4,59.0
6,CRESCENT ST,8213,1198,1642.6,239.6
7,NORWOOD AV,5637,987,1127.4,197.4
8,VAN SICLEN AV,4576,786,915.2,157.2
9,BROADWAY JCT,5493,2685,1098.6,537.0
10,CHAUNCEY ST,3605,410,721.0,82.0
11,GATES AV,7030,813,1406.0,162.6
12,MYRTLE AV,10574,1876,2114.8,375.2
13,MARCY AV,7384,3127,1476.8,625.4
14,DELANCEY/ESSEX,11395,10759,2279.0,2151.8
15,BOWERY,354,1023,70.8,204.6
16,CANAL ST,5204,12597,1040.8,2519.4
17,CHAMBERS ST,1837,7698,367.4,1539.6
18,FULTON ST,21552,34497,4310.4,6899.4
19,BROAD ST,841,2089,168.2,417.8
