STATION,AM_ENTERS,AM_EXITS
125 ST,20342.0,18847.0
138/GRAND CONC,2015.0,1298.0
14 ST-UNION SQ,17962.0,48134.0
149/GRAND CONC,4322.0,2052.0
174 ST,9148.0,3042.0
219 ST,6311.0,692.0
225 ST,7256.0,820.0
233 ST,8633.0,569.0
3 AV-149 ST,12050.0,1581.0
59 ST,2802.0,14181.0
86 ST,6048.0,16463.0
ALLERTON AV,8600.0,852.0
ATL AV-BARCLAY,9061.0,5236.0
BAYCHESTER AV,6655.0,312.0
BEVERLY RD,5279.0,212.0
BOROUGH HALL,4657.0,7477.0
BOWLING GREEN,4398.0,6420.0
BRONX PARK EAST,4699.0,581.0
BROOKLYN BRIDGE,1837.0,7698.0
BURKE AV,6306.0,344.0
CHURCH AV,14828.0,986.0
E 180 ST,12593.0,1861.0
EASTCHSTER/DYRE,9753.0,2404.0
FLATBUSH AV-B.C,29245.0,3193.0
FRANKLIN AV,7115.0,2283.0
FREEMAN ST,6674.0,1385.0
FULTON ST,21552.0,34497.0
GRD CNTRL-42 ST,39361.0,72701.0
GUN HILL RD,15705.0,4186.0
INTERVALE AV,4000.0,1736.0
JACKSON AV,6715.0,492.0
MORRIS PARK,5371.0,353.0
NEREID AV,6337.0,660.0
NEVINS ST,1523.0,2921.0
NEWKIRK AV,12340.0,1430.0
PELHAM PKWY,17299.0,2451.0
PRESIDENT ST,1432.0,472.0
PROSPECT AV,8481.0,802.0
SIMPSON ST,9073.0,1334.0
STERLING ST,2654.0,325.0
WALL ST,9921.0,24004.0
WEST FARMS SQ,8091.0,2180.0
WINTHROP ST,6884.0,887.0
