,STATION,AM_ENTERS,AM_EXITS,AM_AVG_ENTER,AM_AVG_EXIT
0,EASTCHSTER/DYRE,9753,2404,1950.6,480.8
1,BAYCHESTER AV,6655,312,1331.0,62.4
2,GUN HILL RD,15705,4186,3141.0,837.2
3,PELHAM PKWY,17299,2451,3459.8,490.2
4,MORRIS PARK,5371,353,1074.2,70.6
5,NEREID AV,6337,660,1267.4,132.0
6,233 ST,8633,569,1726.6,113.8
7,225 ST,7256,820,1451.2,164.0
8,219 ST,6311,692,1262.2,138.4
9,BURKE AV,6306,344,1261.2,68.8
10,ALLERTON AV,8600,852,1720.0,170.4
11,BRONX PARK EAST,4699,581,939.8,116.2
12,E 180 ST,12593,1861,2518.6,372.2
13,WEST FARMS SQ,8091,2180,1618.2,436.0
14,174 ST,9148,3042,1829.6,608.4
15,FREEMAN ST,6674,1385,1334.8,277.0
16,SIMPSON ST,9073,1334,1814.6,266.8
17,INTERVALE AV,4000,1736,800.0,347.2
18,PROSPECT AV,8481,802,1696.2,160.4
19,JACKSON AV,6715,492,1343.0,98.4
20,3 AV-149 ST,12050,1581,2410.0,316.2
21,149/GRAND CONC,4322,2052,864.4,410.4
22,138/GRAND CONC,2015,1298,403.0,259.6
23,125 ST,20342,18847,4068.4,3769.4
24,86 ST,6048,16463,1209.6,3292.6
25,59 ST,2802,14181,560.4,2836.2
26,GRD CNTRL-42 ST,39361,72701,7872.2,14540.2
27,14 ST-UNION SQ,17962,48134,3592.4,9626.8
28,BROOKLYN BRIDGE,1837,7698,367.4,1539.6
29,FULTON ST,21552,34497,4310.4,6899.4
30,WALL ST,9921,24004,1984.2,4800.8
31,BOWLING GREEN,4398,6420,879.6,1284.0
32,BOROUGH HALL,4657,7477,931.4,1495.4
33,NEVINS ST,1523,2921,304.6,584.2
34,ATL AV-BARCLAY,9061,5236,1812.2,1047.2
35,FRANKLIN AV,7115,2283,1423.0,456.6
36,PRESIDENT ST,1432,472,286.4,94.4
37,STERLING ST,2654,325,530.8,65.0
38,WINTHROP ST,6884,887,1376.8,177.4
39,CHURCH AV,14828,986,2965.6,197.2
40,BEVERLY RD,5279,212,1055.8,42.4
41,NEWKIRK AV,12340,1430,2468.0,286.0
42,FLATBUSH AV-B.C,29245,3193,5849.0,638.6
