STATION,AM_ENTERS,AM_EXITS
EASTCHSTER/DYRE,9753,2404
BAYCHESTER AV,6655,312
GUN HILL RD,15705,4186
PELHAM PKWY,17299,2451
MORRIS PARK,5371,353
NEREID AV,6337,660
233 ST,8633,569
225 ST,7256,820
219 ST,6311,692
BURKE AV,6306,344
ALLERTON AV,8600,852
BRONX PARK EAST,4699,581
E 180 ST,12593,1861
WEST FARMS SQ,8091,2180
174 ST,9148,3042
FREEMAN ST,6674,1385
SIMPSON ST,9073,1334
INTERVALE AV,4000,1736
PROSPECT AV,8481,802
JACKSON AV,6715,492
3 AV-149 ST,12050,1581
149/GRAND CONC,4322,2052
138/GRAND CONC,2015,1298
125 ST,20342,18847
86 ST,6048,16463
59 ST,2802,14181
GRD CNTRL-42 ST,39361,72701
14 ST-UNION SQ,17962,48134
BROOKLYN BRIDGE,1837,7698
FULTON ST,21552,34497
WALL ST,9921,24004
BOWLING GREEN,4398,6420
BOROUGH HALL,4657,7477
NEVINS ST,1523,2921
ATL AV-BARCLAY,9061,5236
FRANKLIN AV,7115,2283
PRESIDENT ST,1432,472
STERLING ST,2654,325
WINTHROP ST,6884,887
CHURCH AV,14828,986
BEVERLY RD,5279,212
NEWKIRK AV,12340,1430
FLATBUSH AV-B.C,29245,3193
