STATION,AM_ENTERS,AM_EXITS
125 ST,20342.0,18847.0
138/GRAND CONC,2015.0,1298.0
14 ST-UNION SQ,17962.0,48134.0
149/GRAND CONC,4322.0,2052.0
161/YANKEE STAD,17163.0,3074.0
167 ST,12864.0,2530.0
170 ST,6253.0,1168.0
176 ST,4569.0,686.0
183 ST,5303.0,486.0
59 ST,2802.0,14181.0
86 ST,6048.0,16463.0
ATL AV-BARCLAY,9061.0,5236.0
BEDFORD PK BLVD,3550.0,1016.0
BOROUGH HALL,4657.0,7477.0
BOWLING GREEN,4398.0,6420.0
BROOKLYN BRIDGE,1837.0,7698.0
BURNSIDE AV,7070.0,810.0
CROWN HTS-UTICA,16771.0,2660.0
FORDHAM RD,7053.0,501.0
FRANKLIN AV,7115.0,2283.0
FULTON ST,21552.0,34497.0
GRD CNTRL-42 ST,39361.0,72701.0
KINGSBRIDGE RD,12464.0,2142.0
MOSHOLU PKWY,10642.0,1228.0
MT EDEN AV,4417.0,1060.0
NEVINS ST,1523.0,2921.0
WALL ST,9921.0,24004.0
WOODLAWN,6346.0,313.0
