,STATION,AM_ENTERS,AM_EXITS,AM_AVG_ENTER,AM_AVG_EXIT
0,WOODLAWN,6346,313,1269.2,62.6
1,MOSHOLU PKWY,10642,1228,2128.4,245.6
2,BEDFORD PK BLVD,3550,1016,710.0,203.2
3,KINGSBRIDGE RD,12464,2142,2492.8,428.4
4,FORDHAM RD,7053,501,1410.6,100.2
5,183 ST,5303,486,1060.6,97.2
6,BURNSIDE AV,7070,810,1414.0,162.0
7,176 ST,4569,686,913.8,137.2
8,MT EDEN AV,4417,1060,883.4,212.0
9,170 ST,6253,1168,1250.6,233.6
10,167 ST,12864,2530,2572.8,506.0
11,161/YANKEE STAD,17163,3074,3432.6,614.8
12,149/GRAND CONC,4322,2052,864.4,410.4
13,138/GRAND CONC,2015,1298,403.0,259.6
14,125 ST,20342,18847,4068.4,3769.4
15,86 ST,6048,16463,1209.6,3292.6
16,59 ST,2802,14181,560.4,2836.2
17,GRD CNTRL-42 ST,39361,72701,7872.2,14540.2
18,14 ST-UNION SQ,17962,48134,3592.4,9626.8
19,BROOKLYN BRIDGE,1837,7698,367.4,1539.6
20,FULTON ST,21552,34497,4310.4,6899.4
21,WALL ST,9921,24004,1984.2,4800.8
22,BOWLING GREEN,4398,6420,879.6,1284.0
23,BOROUGH HALL,4657,7477,931.4,1495.4
24,NEVINS ST,1523,2921,304.6,584.2
25,ATL AV-BARCLAY,9061,5236,1812.2,1047.2
26,FRANKLIN AV,7115,2283,1423.0,456.6
27,CROWN HTS-UTICA,16771,2660,3354.2,532.0
