STATION,AM_ENTERS,AM_EXITS
WOODLAWN,6346,313
MOSHOLU PKWY,10642,1228
BEDFORD PK BLVD,3550,1016
KINGSBRIDGE RD,12464,2142
FORDHAM RD,7053,501
183 ST,5303,486
BURNSIDE AV,7070,810
176 ST,4569,686
MT EDEN AV,4417,1060
170 ST,6253,1168
167 ST,12864,2530
161/YANKEE STAD,17163,3074
149/GRAND CONC,4322,2052
138/GRAND CONC,2015,1298
125 ST,20342,18847
86 ST,6048,16463
59 ST,2802,14181
GRD CNTRL-42 ST,39361,72701
14 ST-UNION SQ,17962,48134
BROOKLYN BRIDGE,1837,7698
FULTON ST,21552,34497
WALL ST,9921,24004
BOWLING GREEN,4398,6420
BOROUGH HALL,4657,7477
NEVINS ST,1523,2921
ATL AV-BARCLAY,9061,5236
FRANKLIN AV,7115,2283
CROWN HTS-UTICA,16771,2660
