STATION,AM_ENTERS,AM_EXITS
103 ST,7888.0,1943.0
116 ST-COLUMBIA,2438.0,3837.0
125 ST,1815.0,1568.0
137 ST CITY COL,11771.0,4268.0
14 ST,6159.0,8166.0
145 ST,3958.0,974.0
14TH STREET,2480.0,8891.0
157 ST,11408.0,2079.0
168 ST,7006.0,4972.0
18 ST,450.0,798.0
181 ST,8161.0,3041.0
191 ST,4279.0,945.0
207 ST,2849.0,769.0
215 ST,537.0,146.0
23 ST,3506.0,6500.0
231 ST,7200.0,186.0
238 ST,1247.0,54.0
28 ST,1895.0,4404.0
34 ST-PENN STA,91903.0,36743.0
50 ST,1306.0,7194.0
59 ST COLUMBUS,4615.0,17394.0
66 ST-LINCOLN,5190.0,15242.0
72 ST,14960.0,18563.0
79 ST,6223.0,4349.0
86 ST,10292.0,10634.0
96 ST,19894.0,17972.0
9TH STREET,1100.0,3643.0
CANAL ST,826.0,2757.0
CATHEDRAL PKWY,7448.0,3518.0
CHAMBERS ST,977.0,4046.0
CHRISTOPHER ST,1624.0,5563.0
CITY / BUS,19451.0,3672.0
DYCKMAN ST,3478.0,493.0
EXCHANGE PLACE,15054.0,12734.0
FRANKLIN ST,1264.0,2355.0
GROVE STREET,26497.0,5514.0
HARRISON,16666.0,1379.0
HOUSTON ST,1642.0,5709.0
JOURNAL SQUARE,96546.0,13186.0
LACKAWANNA,16846.0,1558.0
MARBLE HILL-225,3210.0,193.0
NEWARK BM BW,23311.0,821.0
NEWARK C,12553.0,301.0
NEWARK HM HE,0.0,7282.0
NEWARK HW BMEBE,16922.0,2114.0
PATH NEW WTC,89417.0,121388.0
PATH WTC 2,630.0,15175.0
PAVONIA/NEWPORT,13632.0,10064.0
RECTOR ST,750.0,971.0
SOUTH FERRY,20673.0,11809.0
ST. GEORGE,6946.0,0.0
THIRTY ST,2485.0,8122.0
THIRTY THIRD ST,7449.0,18973.0
TIMES SQ-42 ST,89292.0,59136.0
TOMPKINSVILLE,876.0,0.0
TWENTY THIRD ST,1137.0,8372.0
V.CORTLANDT PK,7117.0,566.0
WTC-CORTLANDT,3132.0,3758.0
