,STATION,AM_ENTERS,AM_EXITS,AM_AVG_ENTER,AM_AVG_EXIT
0,V.CORTLANDT PK,7117,566,1423.4,113.2
1,238 ST,1247,54,249.4,10.8
2,231 ST,7200,186,1440.0,37.2
3,MARBLE HILL-225,3210,193,642.0,38.6
4,215 ST,537,146,107.4,29.2
5,207 ST,2849,769,569.8,153.8
6,DYCKMAN ST,3478,493,695.6,98.6
7,191 ST,4279,945,855.8,189.0
8,181 ST,8161,3041,1632.2,608.2
9,168 ST,7006,4972,1401.2,994.4
10,157 ST,11408,2079,2281.6,415.8
11,145 ST,3958,974,791.6,194.8
12,137 ST CITY COL,11771,4268,2354.2,853.6
13,125 ST,1815,1568,363.0,313.6
14,116 ST-COLUMBIA,2438,3837,487.6,767.4
15,CATHEDRAL PKWY,7448,3518,1489.6,703.6
16,103 ST,7888,1943,1577.6,388.6
17,96 ST,19894,17972,3978.8,3594.4
18,86 ST,10292,10634,2058.4,2126.8
19,79 ST,6223,4349,1244.6,869.8
20,72 ST,14960,18563,2992.0,3712.6
21,66 ST-LINCOLN,5190,15242,1038.0,3048.4
22,59 ST COLUMBUS,4615,17394,923.0,3478.8
23,50 ST,1306,7194,261.2,1438.8
24,TIMES SQ-42 ST,89292,59136,17858.4,11827.2
25,34 ST-PENN STA,91903,36743,18380.6,7348.6
26,28 ST,1895,4404,379.0,880.8
27,23 ST,3506,6500,701.2,1300.0
28,18 ST,450,798,90.0,159.6
29,14 ST,6159,8166,1231.8,1633.2
30,CHRISTOPHER ST,1624,5563,324.8,1112.6
31,HOUSTON ST,1642,5709,328.4,1141.8
32,CANAL ST,826,2757,165.2,551.4
33,FRANKLIN ST,1264,2355,252.8,471.0
34,CHAMBERS ST,977,4046,195.4,809.2
35,WTC-CORTLANDT,3132,3758,626.4,751.6
36,RECTOR ST,750,971,150.0,194.2
37,SOUTH FERRY,20673,11809,4134.6,2361.8
