STATION,AM_ENTERS,AM_EXITS
V.CORTLANDT PK,7117,566
238 ST,1247,54
231 ST,7200,186
MARBLE HILL-225,3210,193
215 ST,537,146
207 ST,2849,769
DYCKMAN ST,3478,493
191 ST,4279,945
181 ST,8161,3041
168 ST,7006,4972
157 ST,11408,2079
145 ST,3958,974
137 ST CITY COL,11771,4268
125 ST,1815,1568
116 ST-COLUMBIA,2438,3837
CATHEDRAL PKWY,7448,3518
103 ST,7888,1943
96 ST,19894,17972
86 ST,10292,10634
79 ST,6223,4349
72 ST,14960,18563
66 ST-LINCOLN,5190,15242
59 ST COLUMBUS,4615,17394
50 ST,1306,7194
TIMES SQ-42 ST,89292,59136
34 ST-PENN STA,91903,36743
28 ST,1895,4404
23 ST,3506,6500
18 ST,450,798
14 ST,6159,8166
CHRISTOPHER ST,1624,5563
HOUSTON ST,1642,5709
CANAL ST,826,2757
FRANKLIN ST,1264,2355
CHAMBERS ST,977,4046
WTC-CORTLANDT,3132,3758
RECTOR ST,750,971
SOUTH FERRY,20673,11809
