STATION,AM_ENTERS,AM_EXITS
103 ST-CORONA,22039.0,1903.0
111 ST,16416.0,1219.0
33 ST-RAWSON ST,1242.0,3821.0
34 ST-HUDSON YD,1988.0,14959.0
40 ST LOWERY ST,3755.0,1641.0
46 ST BLISS ST,6854.0,1849.0
5 AVE,2663.0,21098.0
52 ST,5310.0,991.0
61 ST WOODSIDE,23282.0,5620.0
69 ST,6008.0,1827.0
74 ST-BROADWAY,26622.0,6711.0
82 ST-JACKSON H,7699.0,1901.0
90 ST-ELMHURST,14656.0,912.0
COURT SQ,661.0,3306.0
FLUSHING-MAIN,31356.0,8331.0
GRD CNTRL-42 ST,39361.0,72701.0
HUNTERS PT AV,6792.0,6225.0
JUNCTION BLVD,19452.0,1965.0
METS-WILLETS PT,2277.0,997.0
QUEENSBORO PLZ,2983.0,1833.0
TIMES SQ-42 ST,89292.0,59136.0
VERNON-JACKSON,3308.0,2501.0
