,STATION,AM_ENTERS,AM_EXITS,AM_AVG_ENTER,AM_AVG_EXIT
0,FLUSHING-MAIN,31356,8331,6271.2,1666.2
1,METS-WILLETS PT,2277,997,455.4,199.4
2,111 ST,16416,1219,3283.2,243.8
3,103 ST-CORONA,22039,1903,4407.8,380.6
4,JUNCTION BLVD,19452,1965,3890.4,393.0
5,90 ST-ELMHURST,14656,912,2931.2,182.4
6,82 ST-JACKSON H,7699,1901,1539.8,380.2
7,74 ST-BROADWAY,26622,6711,5324.4,1342.2
8,69 ST,6008,1827,1201.6,365.4
9,61 ST WOODSIDE,23282,5620,4656.4,1124.0
10,52 ST,5310,991,1062.0,198.2
11,46 ST BLISS ST,6854,1849,1370.8,369.8
12,40 ST LOWERY ST,3755,1641,751.0,328.2
13,33 ST-RAWSON ST,1242,3821,248.4,764.2
14,QUEENSBORO PLZ,2983,1833,596.6,366.6
15,COURT SQ,661,3306,132.2,661.2
16,HUNTERS PT AV,6792,6225,1358.4,1245.0
17,VERNON-JACKSON,3308,2501,661.6,500.2
18,GRD CNTRL-42 ST,39361,72701,7872.2,14540.2
19,5 AVE,2663,21098,532.6,4219.6
20,TIMES SQ-42 ST,89292,59136,17858.4,11827.2
21,34 ST-HUDSON YD,1988,14959,397.6,2991.8
