STATION,AM_ENTERS,AM_EXITS
FLUSHING-MAIN,31356,8331
METS-WILLETS PT,2277,997
111 ST,16416,1219
103 ST-CORONA,22039,1903
JUNCTION BLVD,19452,1965
90 ST-ELMHURST,14656,912
82 ST-JACKSON H,7699,1901
74 ST-BROADWAY,26622,6711
69 ST,6008,1827
61 ST WOODSIDE,23282,5620
52 ST,5310,991
46 ST BLISS ST,6854,1849
40 ST LOWERY ST,3755,1641
33 ST-RAWSON ST,1242,3821
QUEENSBORO PLZ,2983,1833
COURT SQ,661,3306
HUNTERS PT AV,6792,6225
VERNON-JACKSON,3308,2501
GRD CNTRL-42 ST,39361,72701
5 AVE,2663,21098
TIMES SQ-42 ST,89292,59136
34 ST-HUDSON YD,1988,14959
