STATION,AM_ENTERS,AM_EXITS
103 ST,8439.0,7932.0
110 ST,4461.0,2436.0
116 ST,10861.0,5267.0
125 ST,20342.0,18847.0
14 ST-UNION SQ,17962.0,48134.0
23 ST,9542.0,18803.0
3 AV 138 ST,9580.0,2544.0
33 ST,10872.0,18249.0
51 ST,6406.0,36210.0
59 ST,2802.0,14181.0
68ST-HUNTER CO,3733.0,16151.0
77 ST,11135.0,21460.0
86 ST,6048.0,16463.0
96 ST,7965.0,4526.0
ASTOR PL,6835.0,6425.0
B'WAY-LAFAYETTE,6241.0,14463.0
BROOK AV,7403.0,3375.0
BROOKLYN BRIDGE,1837.0,7698.0
BUHRE AV,8120.0,933.0
CANAL ST,5204.0,12597.0
CASTLE HILL AV,6072.0,1268.0
CYPRESS AV,3933.0,2708.0
E 143/ST MARY'S,768.0,1880.0
E 149 ST,7071.0,2532.0
ELDER AV,11422.0,1837.0
GRD CNTRL-42 ST,39361.0,72701.0
HUNTS POINT AV,13635.0,6555.0
LONGWOOD AV,4389.0,2509.0
MIDDLETOWN RD,4159.0,779.0
MORISN AV/SNDVW,6701.0,810.0
PARKCHESTER,27966.0,4562.0
PELHAM BAY PARK,6054.0,1063.0
SPRING ST,737.0,1787.0
ST LAWRENCE AV,4173.0,611.0
WESTCHESTER SQ,3729.0,1515.0
WHITLOCK AV,1488.0,563.0
ZEREGA AV,4350.0,1764.0
