,STATION,AM_ENTERS,AM_EXITS,AM_AVG_ENTER,AM_AVG_EXIT
0,PELHAM BAY PARK,6054,1063,1210.8,212.6
1,BUHRE AV,8120,933,1624.0,186.6
2,MIDDLETOWN RD,4159,779,831.8,155.8
3,WESTCHESTER SQ,3729,1515,745.8,303.0
4,ZEREGA AV,4350,1764,870.0,352.8
5,CASTLE HILL AV,6072,1268,1214.4,253.6
6,PARKCHESTER,27966,4562,5593.2,912.4
7,ST LAWRENCE AV,4173,611,834.6,122.2
8,MORISN AV/SNDVW,6701,810,1340.2,162.0
9,ELDER AV,11422,1837,2284.4,367.4
10,WHITLOCK AV,1488,563,297.6,112.6
11,HUNTS POINT AV,13635,6555,2727.0,1311.0
12,LONGWOOD AV,4389,2509,877.8,501.8
13,E 149 ST,7071,2532,1414.2,506.4
14,E 143/ST MARY'S,768,1880,153.6,376.0
15,CYPRESS AV,3933,2708,786.6,541.6
16,BROOK AV,7403,3375,1480.6,675.0
17,3 AV 138 ST,9580,2544,1916.0,508.8
18,125 ST,20342,18847,4068.4,3769.4
19,116 ST,10861,5267,2172.2,1053.4
20,110 ST,4461,2436,892.2,487.2
21,103 ST,8439,7932,1687.8,1586.4
22,96 ST,7965,4526,1593.0,905.2
23,86 ST,6048,16463,1209.6,3292.6
24,77 ST,11135,21460,2227.0,4292.0
25,68ST-HUNTER CO,3733,16151,746.6,3230.2
26,59 ST,2802,14181,560.4,2836.2
27,51 ST,6406,36210,1281.2,7242.0
28,GRD CNTRL-42 ST,39361,72701,7872.2,14540.2
29,33 ST,10872,18249,2174.4,3649.8
30,23 ST,9542,18803,1908.4,3760.6
31,14 ST-UNION SQ,17962,48134,3592.4,9626.8
32,ASTOR PL,6835,6425,1367.0,1285.0
33,B'WAY-LAFAYETTE,6241,14463,1248.2,2892.6
34,SPRING ST,737,1787,147.4,357.4
35,CANAL ST,5204,12597,1040.8,2519.4
36,BROOKLYN BRIDGE,1837,7698,367.4,1539.6
