STATION,AM_ENTERS,AM_EXITS
PELHAM BAY PARK,6054,1063
BUHRE AV,8120,933
MIDDLETOWN RD,4159,779
WESTCHESTER SQ,3729,1515
ZEREGA AV,4350,1764
CASTLE HILL AV,6072,1268
PARKCHESTER,27966,4562
ST LAWRENCE AV,4173,611
MORISN AV/SNDVW,6701,810
ELDER AV,11422,1837
WHITLOCK AV,1488,563
HUNTS POINT AV,13635,6555
LONGWOOD AV,4389,2509
E 149 ST,7071,2532
E 143/ST MARY'S,768,1880
CYPRESS AV,3933,2708
BROOK AV,7403,3375
3 AV 138 ST,9580,2544
125 ST,20342,18847
116 ST,10861,5267
110 ST,4461,2436
103 ST,8439,7932
96 ST,7965,4526
86 ST,6048,16463
77 ST,11135,21460
68ST-HUNTER CO,3733,16151
59 ST,2802,14181
51 ST,6406,36210
GRD CNTRL-42 ST,39361,72701
33 ST,10872,18249
23 ST,9542,18803
14 ST-UNION SQ,17962,48134
ASTOR PL,6835,6425
B'WAY-LAFAYETTE,6241,14463
SPRING ST,737,1787
CANAL ST,5204,12597
BROOKLYN BRIDGE,1837,7698
