STATION,AM_ENTERS,AM_EXITS
116 ST,8197.0,2255.0
125 ST,7578.0,4778.0
135 ST,5182.0,817.0
14 ST,6159.0,8166.0
34 ST-PENN STA,91903.0,36743.0
72 ST,14960.0,18563.0
96 ST,19894.0,17972.0
ATL AV-BARCLAY,9061.0,5236.0
BERGEN ST,703.0,461.0
BOROUGH HALL,4657.0,7477.0
CENTRAL PK N110,2770.0,1855.0
CHAMBERS ST,6512.0,15572.0
CLARK ST,734.0,600.0
CROWN HTS-UTICA,16771.0,2660.0
EASTN PKWY-MUSM,959.0,425.0
FRANKLIN AV,7115.0,2283.0
FULTON ST,21552.0,34497.0
GRAND ARMY PLAZ,1128.0,258.0
HARLEM 148 ST,2766.0,423.0
HOYT ST,571.0,1540.0
JUNIUS ST,1094.0,638.0
KINGSTON AV,1798.0,471.0
NEVINS ST,1523.0,2921.0
NEW LOTS AV,5060.0,1390.0
NOSTRAND AV,1534.0,554.0
PARK PLACE,244.0,1858.0
PENNSYLVANIA AV,3300.0,315.0
ROCKAWAY AV,3681.0,679.0
SARATOGA AV,5287.0,666.0
SUTTER AV-RUTLD,5413.0,1071.0
TIMES SQ-42 ST,89292.0,59136.0
VAN SICLEN AV,2674.0,333.0
WALL ST,1206.0,5688.0
