,STATION,AM_ENTERS,AM_EXITS,AM_AVG_ENTER,AM_AVG_EXIT
0,HARLEM 148 ST,2766,423,553.2,84.6
1,135 ST,5182,817,1036.4,163.4
2,125 ST,7578,4778,1515.6,955.6
3,116 ST,8197,2255,1639.4,451.0
4,CENTRAL PK N110,2770,1855,554.0,371.0
5,96 ST,19894,17972,3978.8,3594.4
6,72 ST,14960,18563,2992.0,3712.6
7,TIMES SQ-42 ST,89292,59136,17858.4,11827.2
8,34 ST-PENN STA,91903,36743,18380.6,7348.6
9,14 ST,6159,8166,1231.8,1633.2
10,CHAMBERS ST,6512,15572,1302.4,3114.4
11,PARK PLACE,244,1858,48.8,371.6
12,FULTON ST,21552,34497,4310.4,6899.4
13,WALL ST,1206,5688,241.2,1137.6
14,CLARK ST,734,600,146.8,120.0
15,BOROUGH HALL,4657,7477,931.4,1495.4
16,HOYT ST,571,1540,114.2,308.0
17,NEVINS ST,1523,2921,304.6,584.2
18,ATL AV-BARCLAY,9061,5236,1812.2,1047.2
19,BERGEN ST,703,461,140.6,92.2
20,GRAND ARMY PLAZ,1128,258,225.6,51.6
21,EASTN PKWY-MUSM,959,425,191.8,85.0
22,FRANKLIN AV,7115,2283,1423.0,456.6
23,NOSTRAND AV,1534,554,306.8,110.8
24,KINGSTON AV,1798,471,359.6,94.2
25,CROWN HTS-UTICA,16771,2660,3354.2,532.0
26,SUTTER AV-RUTLD,5413,1071,1082.6,214.2
27,SARATOGA AV,5287,666,1057.4,133.2
28,ROCKAWAY AV,3681,679,736.2,135.8
29,JUNIUS ST,1094,638,218.8,127.6
30,PENNSYLVANIA AV,3300,315,660.0,63.0
31,VAN SICLEN AV,2674,333,534.8,66.6
32,NEW LOTS AV,5060,1390,1012.0,278.0
