STATION,AM_ENTERS,AM_EXITS
HARLEM 148 ST,2766,423
135 ST,5182,817
125 ST,7578,4778
116 ST,8197,2255
CENTRAL PK N110,2770,1855
96 ST,19894,17972
72 ST,14960,18563
TIMES SQ-42 ST,89292,59136
34 ST-PENN STA,91903,36743
14 ST,6159,8166
CHAMBERS ST,6512,15572
PARK PLACE,244,1858
FULTON ST,21552,34497
WALL ST,1206,5688
CLARK ST,734,600
BOROUGH HALL,4657,7477
HOYT ST,571,1540
NEVINS ST,1523,2921
ATL AV-BARCLAY,9061,5236
BERGEN ST,703,461
GRAND ARMY PLAZ,1128,258
EASTN PKWY-MUSM,959,425
FRANKLIN AV,7115,2283
NOSTRAND AV,1534,554
KINGSTON AV,1798,471
CROWN HTS-UTICA,16771,2660
SUTTER AV-RUTLD,5413,1071
SARATOGA AV,5287,666
ROCKAWAY AV,3681,679
JUNIUS ST,1094,638
PENNSYLVANIA AV,3300,315
VAN SICLEN AV,2674,333
NEW LOTS AV,5060,1390
