STATION,LINENAME,AM_ENTERS,AM_EXITS
1 AV,L,2173.0,5427.0
103 ST,1,7888.0,1943.0
103 ST,6,8439.0,7932.0
103 ST,BC,4581.0,1183.0
103 ST-CORONA,7,22039.0,1903.0
104 ST,A,2441.0,74.0
104 ST,JZ,1539.0,35.0
110 ST,6,4461.0,2436.0
111 ST,7,16416.0,1219.0
111 ST,A,6459.0,146.0
111 ST,J,2451.0,313.0
116 ST,23,8197.0,2255.0
116 ST,6,10861.0,5267.0
116 ST,BC,5165.0,2321.0
116 ST-COLUMBIA,1,2438.0,3837.0
121 ST,JZ,1251.0,253.0
125 ST,1,1815.0,1568.0
125 ST,23,7578.0,4778.0
125 ST,456,20342.0,18847.0
125 ST,ACBD,8707.0,6616.0
135 ST,23,5182.0,817.0
135 ST,BC,3747.0,3475.0
137 ST CITY COL,1,11771.0,4268.0
138/GRAND CONC,45,2015.0,1298.0
14 ST,123FLM,4474.0,3727.0
14 ST,ACEL,3919.0,11802.0
14 ST,FLM123,896.0,3921.0
14 ST-UNION SQ,456LNQRW,8909.0,15566.0
14 ST-UNION SQ,LNQR456W,9053.0,32568.0
145 ST,1,3958.0,974.0
145 ST,ABCD,13017.0,5495.0
149/GRAND CONC,245,4322.0,2052.0
14TH STREET,1,2480.0,8891.0
15 ST-PROSPECT,FG,3160.0,578.0
155 ST,BD,4413.0,872.0
155 ST,C,3019.0,730.0
157 ST,1,11408.0,2079.0
161/YANKEE STAD,4BD,6047.0,683.0
161/YANKEE STAD,BD4,11116.0,2391.0
163 ST-AMSTERDM,C,5308.0,995.0
167 ST,4,12864.0,2530.0
168 ST,1AC,1879.0,4380.0
168 ST,AC1,5127.0,592.0
169 ST,F,7302.0,1477.0
170 ST,4,6253.0,1168.0
170 ST,BD,14841.0,1884.0
174 ST,25,9148.0,3042.0
175 ST,A,6414.0,792.0
176 ST,4,4569.0,686.0
18 AV,D,4439.0,231.0
18 AV,F,2050.0,315.0
18 AV,N,4645.0,278.0
18 ST,1,450.0,798.0
181 ST,1,8161.0,3041.0
181 ST,A,12955.0,1696.0
182-183 STS,BD,4110.0,263.0
183 ST,4,5303.0,486.0
190 ST,A,1988.0,212.0
191 ST,1,4279.0,945.0
