STATION,LINENAME,PM_ENTERS,PM_EXITS
1 AV,L,17391.0,18195.0
103 ST,1,13537.0,6671.0
103 ST,6,16862.0,12606.0
103 ST,BC,4818.0,3202.0
103 ST-CORONA,7,14701.0,9735.0
104 ST,A,1325.0,412.0
104 ST,JZ,1028.0,150.0
110 ST,6,10513.0,7401.0
111 ST,7,8089.0,4426.0
111 ST,A,1475.0,727.0
111 ST,J,2475.0,1385.0
116 ST,23,11196.0,5236.0
116 ST,6,18221.0,8920.0
116 ST,BC,7244.0,5108.0
116 ST-COLUMBIA,1,21469.0,10059.0
121 ST,JZ,1004.0,821.0
125 ST,1,7964.0,7092.0
125 ST,23,17482.0,6317.0
125 ST,456,30216.0,24436.0
125 ST,ACBD,27231.0,21340.0
135 ST,23,13917.0,3610.0
135 ST,BC,7384.0,4124.0
137 ST CITY COL,1,17308.0,12215.0
138/GRAND CONC,45,2943.0,2499.0
14 ST,123FLM,19813.0,13259.0
14 ST,ACEL,27238.0,16013.0
14 ST,FLM123,19506.0,25779.0
14 ST-UNION SQ,456LNQRW,34135.0,30027.0
14 ST-UNION SQ,LNQR456W,83397.0,67925.0
145 ST,1,9790.0,5319.0
145 ST,ABCD,22567.0,19270.0
149/GRAND CONC,245,17636.0,7668.0
14TH STREET,1,11421.0,8470.0
15 ST-PROSPECT,FG,5057.0,2926.0
155 ST,BD,3985.0,2074.0
155 ST,C,2945.0,2061.0
157 ST,1,11993.0,6867.0
161/YANKEE STAD,4BD,1124149114.0,453058020.0
161/YANKEE STAD,BD4,17700.0,8922.0
163 ST-AMSTERDM,C,3818.0,3410.0
167 ST,4,7943.0,8750.0
168 ST,1AC,12457.0,12712.0
168 ST,AC1,11929.0,3765.0
169 ST,F,8444.0,5141.0
170 ST,4,6606.0,4520.0
170 ST,BD,10996.0,4498.0
174 ST,25,8002.0,6825.0
175 ST,A,10722.0,4876.0
176 ST,4,4873.0,2318.0
18 AV,D,4856.0,1192.0
18 AV,F,3336.0,2601.0
18 AV,N,2199.0,1164.0
18 ST,1,9011.0,5735.0
181 ST,1,12113.0,10936.0
181 ST,A,10408.0,8287.0
182-183 STS,BD,4341.0,1307.0
183 ST,4,5172.0,2449.0
190 ST,A,3883.0,1367.0
191 ST,1,7865.0,6563.0
2 AV,F,13303.0,13619.0
20 AV,D,3761.0,1069.0
20 AV,N,2673.0,712.0
207 ST,1,6138.0,2644.0
21 ST,G,1523.0,1413.0
21 ST-QNSBRIDGE,F,10280.0,5446.0
215 ST,1,2047.0,791.0
219 ST,25,2889.0,1644.0
225 ST,25,3766.0,2088.0
23 ST,1,19968.0,13802.0
23 ST,6,47287.0,34461.0
23 ST,CE,23533.0,16816.0
23 ST,NRW,26817.0,15705.0
231 ST,1,10279.0,1041.0
233 ST,25,4357.0,1476.0
238 ST,1,823.0,386.0
25 AV,D,4554.0,1245.0
25 ST,R,2191.0,1933.0
28 ST,1,15362.0,8965.0
28 ST,NRW,14228.0,15888.0
3 AV,L,5337.0,6101.0
3 AV 138 ST,6,8158.0,5313.0
3 AV-149 ST,25,24805.0,8624.0
30 AV,NQW,11757.0,5994.0
33 ST,6,42650.0,27351.0
33 ST-RAWSON ST,7,14237.0,6212.0
34 ST-HERALD SQ,BDFMNQRW,103939.0,110321.0
34 ST-HUDSON YD,7,11823.0,11472.0
34 ST-PENN STA,123,23471.0,31071.0
34 ST-PENN STA,123ACE,43361.0,51968.0
34 ST-PENN STA,ACE,62047.0,61351.0
36 AV,NQW,7534.0,3956.0
36 ST,DNR,13141.0,6989.0
36 ST,MR,6584.0,3675.0
4 AV-9 ST,DFGMNR,2765.0,2937.0
40 ST LOWERY ST,7,8604.0,5045.0
