,STATION,AM_ENTERS,AM_EXITS,AM_AVG_ENTER,AM_AVG_EXIT
0,WAKEFIELD/241,8341,2826,1668.2,565.2
1,NEREID AV,6337,660,1267.4,132.0
2,233 ST,8633,569,1726.6,113.8
3,225 ST,7256,820,1451.2,164.0
4,219 ST,6311,692,1262.2,138.4
5,GUN HILL RD,9274,3892,1854.8,778.4
6,BURKE AV,6306,344,1261.2,68.8
7,ALLERTON AV,8600,852,1720.0,170.4
8,PELHAM PKWY,11472,1483,2294.4,296.6
9,BRONX PARK EAST,4699,581,939.8,116.2
10,E 180 ST,12593,1861,2518.6,372.2
11,WEST FARMS SQ,8091,2180,1618.2,436.0
12,174 ST,9148,3042,1829.6,608.4
13,FREEMAN ST,6674,1385,1334.8,277.0
14,SIMPSON ST,9073,1334,1814.6,266.8
15,INTERVALE AV,4000,1736,800.0,347.2
16,PROSPECT AV,8481,802,1696.2,160.4
17,JACKSON AV,6715,492,1343.0,98.4
18,3 AV-149 ST,12050,1581,2410.0,316.2
19,149/GRAND CONC,4322,2052,864.4,410.4
20,135 ST,5182,817,1036.4,163.4
21,125 ST,7578,4778,1515.6,955.6
22,116 ST,8197,2255,1639.4,451.0
23,CENTRAL PK N110,2770,1855,554.0,371.0
24,96 ST,19894,17972,3978.8,3594.4
25,72 ST,14960,18563,2992.0,3712.6
26,TIMES SQ-42 ST,89292,59136,17858.4,11827.2
27,34 ST-PENN STA,91903,36743,18380.6,7348.6
28,14 ST,6159,8166,1231.8,1633.2
29,CHAMBERS ST,3982,12134,796.4,2426.8
30,PARK PLACE,2774,5296,554.8,1059.2
31,FULTON ST,21552,34497,4310.4,6899.4
32,WALL ST,1206,5688,241.2,1137.6
33,CLARK ST,734,600,146.8,120.0
34,BOROUGH HALL,4657,7477,931.4,1495.4
35,HOYT ST,571,1540,114.2,308.0
36,NEVINS ST,1523,2921,304.6,584.2
37,ATL AV-BARCLAY,9061,5236,1812.2,1047.2
38,BERGEN ST,703,461,140.6,92.2
39,GRAND ARMY PLAZ,1128,258,225.6,51.6
40,EASTN PKWY-MUSM,959,425,191.8,85.0
41,FRANKLIN AV,7115,2283,1423.0,456.6
42,PRESIDENT ST,1432,472,286.4,94.4
43,STERLING ST,2654,325,530.8,65.0
44,WINTHROP ST,6884,887,1376.8,177.4
45,CHURCH AV,14828,986,2965.6,197.2
46,BEVERLY RD,5279,212,1055.8,42.4
47,NEWKIRK AV,12340,1430,2468.0,286.0
48,FLATBUSH AV-B.C,29245,3193,5849.0,638.6
