STATION,AM_ENTERS,AM_EXITS
WAKEFIELD/241,8341,2826
NEREID AV,6337,660
233 ST,8633,569
225 ST,7256,820
219 ST,6311,692
GUN HILL RD,9274,3892
BURKE AV,6306,344
ALLERTON AV,8600,852
PELHAM PKWY,11472,1483
BRONX PARK EAST,4699,581
E 180 ST,12593,1861
WEST FARMS SQ,8091,2180
174 ST,9148,3042
FREEMAN ST,6674,1385
SIMPSON ST,9073,1334
INTERVALE AV,4000,1736
PROSPECT AV,8481,802
JACKSON AV,6715,492
3 AV-149 ST,12050,1581
149/GRAND CONC,4322,2052
135 ST,5182,817
125 ST,7578,4778
116 ST,8197,2255
CENTRAL PK N110,2770,1855
96 ST,19894,17972
72 ST,14960,18563
TIMES SQ-42 ST,89292,59136
34 ST-PENN STA,91903,36743
14 ST,6159,8166
CHAMBERS ST,3982,12134
PARK PLACE,2774,5296
FULTON ST,21552,34497
WALL ST,1206,5688
CLARK ST,734,600
BOROUGH HALL,4657,7477
HOYT ST,571,1540
NEVINS ST,1523,2921
ATL AV-BARCLAY,9061,5236
BERGEN ST,703,461
GRAND ARMY PLAZ,1128,258
EASTN PKWY-MUSM,959,425
FRANKLIN AV,7115,2283
PRESIDENT ST,1432,472
STERLING ST,2654,325
WINTHROP ST,6884,887
CHURCH AV,14828,986
BEVERLY RD,5279,212
NEWKIRK AV,12340,1430
FLATBUSH AV-B.C,29245,3193
